received_date,effective_date,type,affected,employer,city,county,notification,source_year
5/14/2020,4/6/2020,Layoff,1,TAO LV Restaurant,Las Vegas,Clark,,2020
5/15/2020,5/15/2020,Layoff,1,"Hakkasan Holdings, LLC",Las Vegas,Clark,,2020
5/15/2020,3/17/2020,Layoff,2074,"Circus Circus, LLC",Las Vegas,Clark,,2020
5/18/2020,4/27/2020,Layoff,238,McCarran Airport Slot Concession,Las Vegas,Clark,,2020
5/18/2020,4/22/2020,Layoff,115,"Wingfield Nevada Group Management Co., LLC","CS, Sp","Cl, Wa",,2020
5/20/2020,5/20/2020,Layoff,39,Gate Gourmet's Dallas Kitchen,Las Vegas,Clark,,2020
5/21/2020,5/3/2020,Layoff,2028,"South Point Hotel, Casino and Spa",Las Vegas,Clark,,2020
5/21/2020,5/20/2020,Layoff,11,Hertz Corporation,Las Vegas,Clark,,2020
5/22/2020,7/1/2020,Layoff,49,Eldorado Resort Casino,Reno,Washoe,,2020
5/22/2020,7/1/2020,Layoff,343,Main Street Station Casino Brewery Hotel,Las Vegas,Clark,,2020
5/22/2020,7/1/2020,Layoff,636,Aliante Casino + Hotel + Spa,N. Las Vegas,Clark,,2020
5/22/2020,7/1/2020,Layoff,1801,The Orleans Hotel & Casino,Las Vegas,Clark,,2020
5/22/2020,7/1/2020,Layoff,720,Suncoast Hotel & Casino,Las Vegas,Clark,,2020
5/22/2020,7/1/2020,Layoff,649,Sam's Town Hotel & Gambling Hall,Las Vegas,Clark,,2020
5/22/2020,7/1/2020,Layoff,375,Boyd Gaming Corporation,Las Vegas,Clark,,2020
5/22/2020,7/1/2020,Layoff,77,Jokers Wild Casino,Henderson,Clark,,2020
5/22/2020,7/1/2020,Layoff,428,Fremont Hotel & Casino,Las Vegas,Clark,,2020
5/22/2020,7/1/2020,Layoff,227,Eastside Cannery Casino & Hotel,Las Vegas,Clark,,2020
5/22/2020,7/1/2020,Layoff,467,Cannery Casino & Hotel,N. Las Vegas,Clark,,2020
5/22/2020,7/1/2020,Layoff,444,California Hotel & Casino,Las Vegas,Clark,,2020
5/22/2020,7/1/2020,Layoff,57,Boyd Linen & Uniform Services,Henderson,Clark,,2020
5/22/2020,7/1/2020,Layoff,915,Gold Coast Hotel & Casino,Las Vegas,Clark,,2020
5/26/2020,3/19/2020,Layoff,1200,Mesquite Gaming,Mesquite,Clark,,2020
5/27/2020,4/15/2020,Layoff,102,"PCC Structurals, Inc.",Carson City,Carson,,2020
6/1/2020,5/19/2020,Layoff,57,Miller's Ale House,Las Vegas,Clark,,2020
6/1/2020,3/26/2020,Layoff,339,"Global Experience Specialists, Inc.",Las Vegas,Clark,,2020
6/1/2020,5/25/2020,Layoff,526,Drai's Management Group / Afterhours,Las Vegas,Clark,,2020
6/1/2020,7/31/2020,Layoff,182,Bonanza Beverage Company,Las Vegas,Clark,,2020
6/1/2020,5/25/2020,Layoff,49,"Liason, LLC",Las Vegas,Clark,,2020
6/3/2020,3/18/2020,Layoff,107,Las Vegas Marriott,Las Vegas,Clark,,2020
6/4/2020,4/4/2020,Layoff,54,"Wyndham Vacation Ownership, Inc.",Las Vegas,Clark,,2020
6/4/2020,5/27/2020,Layoff,107,Casino Royale,Las Vegas,Clark,,2020
6/5/2020,3/30/2020,Layoff,18,Gate Gourmet's Dallas Kitchen,Las Vegas,Clark,,2020
6/5/2020,6/5/2020,Layoff,700,SP+,Las Vegas,Clark,,2020
6/8/2020,8/1/2020,Layoff,103,Peppermill Reno,Reno,Washoe,,2020
6/9/2020,8/31/2020,Layoff,471,"CEOC, LLC (Harrah's Reno)",Reno,Washoe,,2020
6/12/2020,8/15/2020,Layoff,233,Penn National Gaming,Las Vegas,Clark,,2020
6/12/2020,8/15/2020,Layoff,328,M Resort Spa Casino,Henderson,Clark,,2020
6/12/2020,7/13/2020,Layoff,123,"VSR Industries, Inc.",Henderson,Clark,,2020
6/15/2020,6/11/2020,Layoff,52,"Derse, Inc.",N. Las Vegas,Clark,,2020
6/16/2020,8/15/2020,Layoff,97,Cactus Petes,Jackpot,Elko,,2020
6/18/2020,6/12/2020,Layoff,29,Trump Ruffin Commercial,Las Vegas,Clark,,2020
6/18/2020,3/18/2020,Layoff,646,Marshall Retail Group,Las Vegas,Clark,,2020
6/22/2020,8/14/2020,Layoff,414,Treasure Island Hotel & Casino,Las Vegas,Clark,,2020
6/22/2020,9/18/2020,Layoff,0,Sahara,Las Vegas,Clark,,2020
6/23/2020,6/30/2020,Layoff,164,"Freeman Expositions, LLC",Las Vegas,Clark,,2020
6/23/2020,6/30/2020,Layoff,81,"Freeman Audio Visual, LLC",Las Vegas,Clark,,2020
6/23/2020,6/30/2020,Layoff,1,"Freeman Audio Visual, LLC",Las Vegas,Clark,,2020
6/23/2020,6/30/2020,Layoff,1,"Freeman Expositions, LLC",Las Vegas,Clark,,2020
6/23/2020,6/30/2020,Layoff,120,"The Freeman Company, LLC",Las Vegas,Clark,,2020
6/23/2020,6/30/2020,Layoff,2,"The Freeman Company, LLC",Las Vegas,Clark,,2020
6/24/2020,8/1/2020,Layoff,17,Levy Premium Foodservice Limited,Las Vegas,Clark,,2020
6/29/2020,6/30/2020,Layoff,58,Cirque du Soleil - Blue Man,Las Vegas,Clark,,2020
6/29/2020,8/28/2020,Layoff,150,Amentum - CTTR,Fallon,Churchill,,2020
6/29/2020,6/30/2020,Layoff,176,Cirque du Soleil Entertainment Group,Las Vegas,Clark,,2020
7/1/2020,8/31/2020,Closure,6,Odwalla's,Las Vegas,Clark,,2020
7/1/2020,8/31/2020,Closure,3,Odwalla's,Sparks,Washoe,,2020
7/1/2020,3/24/2020,Layoff,3128,The Cosmopolitan LV,Las Vegas,Clark,,2020
7/2/2020,6/30/2020,Layoff,204,Cirque du Soleil Entertainment Group,Las Vegas,Clark,,2020
7/2/2020,6/30/2020,Layoff,150,Cirque du Soleil Entertainment Group,Las Vegas,Clark,,2020
7/6/2020,10/15/2020,Layoff,620,Tropicana Las Vegas,Las Vegas,Clark,,2020
7/7/2020,8/29/2020,Layoff,124,Terrible's Casino,Jean,Clark,,2020
7/7/2020,8/15/2020,Layoff,129,Cactus Petes,Jackpot,Elko,,2020
7/8/2020,10/1/2020,Layoff,76,"Allegiant Air, LLC",Las Vegas,Clark,,2020
7/8/2020,10/1/2020,Layoff,339,"United Airlines, Inc.",Las Vegas,Clark,,2020
7/10/2020,7/10/2020,Layoff,117,T-Mobile (Sprint),Las Vegas,Clark,,2020
7/10/2020,6/24/2020,Layoff,8,Wyndham Vacation Ownership,Las Vegas,Clark,,2020
7/13/2020,9/15/2020,Layoff,74,Maverick Helicopters,"LV, He",Clark,,2020
7/13/2020,9/15/2020,Layoff,41,Maverick Airlines,Henderson,Clark,,2020
7/13/2020,9/1/2020,Layoff,252,"Circus Circus, LLC",Las Vegas,Clark,,2020
7/17/2020,10/1/2020,Layoff,1,"Allegiant Air, LLC",Las Vegas,Clark,,2020
7/17/2020,9/19/2020,Layoff,295,Nellis Cab Company,Las Vegas,Clark,,2020
7/20/2020,3/16/2020,Layoff,100,"Jobsite Hospitality, LLC",Las Vegas,Clark,,2020
7/21/2020,7/1/2020,Layoff,386,Hilton Grand Vactions - Elara,Las Vegas,Clark,,2020
7/21/2020,8/15/2020,Layoff,2,Double Bogey,Las Vegas,Clark,,2020
7/21/2020,4/3/2020,Layoff,608,Hilton Grand Vacation,Las Vegas,Clark,,2020
7/21/2020,9/20/2020,Layoff,8,"Penn National Gaming, Inc.",Las Vegas,Clark,,2020
7/23/2020,8/15/2020,Layoff,24,M Resort Spa Casino,Henderson,Clark,,2020
7/28/2020,7/27/2020,Layoff,192,Timet,Henderson,Clark,,2020
7/30/2020,10/1/2020,Layoff,7,"United Airlines, Inc.",Las Vegas,Clark,,2020
7/30/2020,7/3/2020,Layoff,284,Wyndham Vacation Ownership - Grand Desert,Las Vegas,Clark,,2020
7/30/2020,7/3/2020,Layoff,89,Wyndham Vacation Ownership - Desert Blue,Las Vegas,Clark,,2020
7/31/2020,10/1/2020,Layoff,286,"Spirit Airlines, Inc.",Las Vegas,Clark,,2020
7/31/2020,10/1/2020,Layoff,245,"Frontier Airlines, Inc.",Las Vegas,Clark,,2020
7/31/2020,9/30/2020,Layoff,262,"MHM Solutions, LLC.",Carson City,Carson City,,2020
8/3/2020,10/1/2020,Layoff,86,"Sky Chefs, Inc.",Las Vegas,Clark,,2020
8/4/2020,10/1/2020,Layoff,1,"Allegiant Air, LLC",Las Vegas,Clark,,2020
8/5/2020,7/31/2020,Layoff,506,Waldorf Astoria,Las Vegas,Clark,,2020
8/6/2020,5/27/2020,Layoff,144,"Swissport USA, Inc.",Las Vegas,Clark,,2020
8/7/2020,8/15/2020,Layoff,58,M Resort Spa Casino,Henderson,Clark,,2020
8/7/2020,10/15/2020,Layoff,41,Tropicana Las Vegas,Las Vegas,Clark,,2020
8/11/2020,10/11/2020,Layoff,1,Penn National Gaming,Las Vegas,Clark,,2020
8/11/2020,7/30/2020,Layoff,7,DoubleTree by Hilton,Las Vegas,Clark,,2020
8/11/2020,8/31/2020,Layoff,79,"AWG Ambassador, LLC",Las Vegas,Clark,,2020
8/11/2020,10/15/2020,Layoff,941,HMSHost,Las Vegas,Clark,,2020
8/12/2020,7/31/2020,Layoff,11,The Platinum Hotel & Spa,Las Vegas,Clark,,2020
8/12/2020,7/31/2020,Layoff,59,The Platinum Hotel & Spa,Las Vegas,Clark,,2020
8/13/2020,8/10/2020,Layoff,98,Casino Royale,Las Vegas,Clark,,2020
8/14/2020,8/31/2020,Layoff,249,Wynn Las Vegas - Le Reve,Las Vegas,Clark,,2020
8/18/2020,8/21/2020,Layoff,52,Searsucker Las Vegas Reastaurant,Las Vegas,Clark,,2020
8/25/2020,8/27/2020,Layoff,178,Canyon Ranch,Las Vegas,Clark,,2020
8/31/2020,10/27/2020,Layoff,360,"Addus Healthcare, Inc.","LV, Pa",Clark,,2020
8/31/2020,9/1/2020,Layoff,8,"Hakkasan Holdings, LLC",Las Vegas,Clark,,2020
8/31/2020,10/30/2020,Layoff,190,The Westin Las Vegas Hotel & Spa,Las Vegas,Clark,,2020
8/31/2020,10/30/2020,Layoff,147,Renaissance Las Vegas Hotel,Las Vegas,Clark,,2020
9/1/2020,8/21/2020,Layoff,114,"Sundance Helicopters, Inc.",Las Vegas,Clark,,2020
9/1/2020,8/31/2020,Layoff,74,"Live Nation Entertainment, Inc.",Las Vegas,Clark,,2020
9/3/2020,11/13/2020,Layoff,47,Marriott Ownership - Grand Chateau,Las Vegas,Clark,,2020
9/3/2020,11/13/2020,Layoff,65,Marriott Hospitality - Grand Chateau,Las Vegas,Clark,,2020
9/3/2020,3/18/2020,Layoff,105,Grand Canyon Scenic Airlines,Boulder City,Clark,,2020
9/4/2020,9/11/2020,Layoff,132,Get Fresh,Las Vegas,Clark,,2020
9/10/2020,8/7/2020,Closure,12,Wyndham Vacation Ownership - Rio,Las Vegas,Clark,,2020
9/10/2020,7/3/2020,Layoff,35,Wyndham Vacation Ownership - Harrahs,Las Vegas,Clark,,2020
9/14/2020,11/12/2020,Layoff,127,OYO Hotel & Casino,Las Vegas,Clark,,2020
9/15/2020,9/10/2020,Layoff,8,Brady Linen - Foremaster,Las Vegas,Clark,,2020
9/15/2020,9/10/2020,Layoff,10,Brady Linen - Losee,Las Vegas,Clark,,2020
9/15/2020,9/10/2020,Layoff,8,Brady Linen - Mayflower,Las Vegas,Clark,,2020
9/15/2020,9/10/2020,Layoff,13,Brady Linen - Mitchell,N. Las Vegas,Clark,,2020
9/15/2020,9/30/2020,Layoff,63,Emeril's New Orleans Fish House,Las Vegas,Clark,,2020
9/15/2020,9/30/2020,Layoff,73,Delmonico Steakhouse,Las Vegas,Clark,,2020
9/17/2020,11/18/2020,Layoff,110,"Papillon Airways, Inc.","BC, LV",Clark,,2020
9/17/2020,11/13/2020,Layoff,116,Main Street Station,Las Vegas,Clark,,2020
9/17/2020,10/26/2020,Layoff,161,Amentum - CTTR,"Fa, LV","Ch, Cl",,2020
9/17/2020,11/13/2020,Layoff,168,California Hotel and Casino,Las Vegas,Clark,,2020
9/18/2020,3/23/2020,Reduced,75,P.F. Chang's China Bistro,Las Vegas,Clark,,2020
9/18/2020,3/23/2020,Reduced,75,P.F. Chang's China Bistro,Reno,Washoe,,2020
9/18/2020,3/23/2020,Reduced,75,P.F. Chang's China Bistro,Las Vegas,Clark,,2020
9/18/2020,3/23/2020,Reduced,75,P.F. Chang's China Bistro,Las Vegas,Clark,,2020
9/18/2020,9/23/2020,Layoff,1,"The Freeman Company, LLC",Las Vegas,Clark,,2020
9/18/2020,3/23/2020,Reduced,75,P.F. Chang's China Bistro,Henderson,Clark,,2020
9/18/2020,9/23/2020,Layoff,164,"Freeman Expositions, LLC",Las Vegas,Clark,,2020
9/18/2020,9/23/2020,Layoff,1,"Freeman Expositions, LLC",Las Vegas,Clark,,2020
9/18/2020,9/23/2020,Layoff,34,"Freeman Audio Visual, LLC",Las Vegas,Clark,,2020
9/18/2020,11/15/2020,Layoff,154,"Nugget Sparks, LLC",Sparks,Washoe,,2020
9/18/2020,9/23/2020,Layoff,42,"The Freeman Company, LLC",Las Vegas,Clark,,2020
9/21/2020,9/21/2020,Layoff,107,"Production Resource Group, LLC",Las Vegas,Clark,,2020
9/28/2020,10/25/2020,Layoff,52,Milos Las Vegas,Las Vegas,Clark,,2020
9/29/2020,10/4/2020,Layoff,58,"ABM, Inc.",Las Vegas,Clark,,2020
10/6/2020,9/30/2020,Layoff,2,Buddha Entertainment,Las Vegas,Clark,,2020
10/6/2020,9/30/2020,Layoff,1,Strip View Entertainment,Las Vegas,Clark,,2020
10/6/2020,9/30/2020,Layoff,1,Guapo Bodega LV,Las Vegas,Clark,,2020
10/6/2020,9/30/2020,Layoff,4,Asia Las Vegas,Las Vegas,Clark,,2020
10/6/2020,9/30/2020,Layoff,74,Bright Horizons,Las Vegas,Clark,,2020
10/6/2020,9/30/2020,Layoff,6,Roof Deck Entertainment,Las Vegas,Clark,,2020
10/7/2020,10/8/2020,Layoff,50,"Allegiant Air, LLC",Las Vegas,Clark,,2020
10/12/2020,10/15/2020,Layoff,110,Tropicana Las Vegas,Las Vegas,Clark,,2020
10/12/2020,1/15/2021,Layoff,57,Tropicana Las Vegas,Las Vegas,Clark,,2020
10/12/2020,12/16/2020,Layoff,53,Eiffel Tower Restaurant,Las Vegas,Clark,,2020
10/12/2020,12/16/2020,Layoff,96,Mon Ami Gabi,Las Vegas,Clark,,2020
10/14/2020,9/12/2020,Layoff,4,Wyndham Vacation Ownership - Harrahs,Las Vegas,Clark,,2020
10/14/2020,9/11/2020,Layoff,1,Wyndham Vacation Ownership - Grand Desert,Las Vegas,Clark,,2020
10/16/2020,3/26/2020,Layoff,180,Aramark at Park Theater,Las Vegas,Clark,,2020
10/16/2020,3/26/2020,Layoff,164,Aramark at MGM Grand Garden Arena,Las Vegas,Clark,,2020
10/23/2020,12/23/2020,Layoff,132,Tropicana Las Vegas,Las Vegas,Clark,,2020
10/23/2020,12/21/2020,Layoff,236,M Resort Spa Casino,Henderson,Clark,,2020
10/23/2020,12/23/2020,Layoff,17,Tropicana Las Vegas,Las Vegas,Clark,,2020
10/29/2020,12/24/2020,Closure,161,OptumRx,Las Vegas,Clark,,2020
10/30/2020,1/1/2021,Layoff,163,Smith Center,Las Vegas,Clark,,2020
11/13/2020,3/1/2020,Layoff,65,Sodexo - UNR,Reno,Washoe,,2020
11/18/2020,1/25/2021,,,Southwest Airlines - WARN Rescinded 1/8/21,Las Vegas,Clark,,2020
11/30/2020,1/31/2021,Layoff,253,DynCorp International,Fallon,Churchill,,2020
12/3/2020,3/15/2021,,,Southwest Airlines - WARN Rescinded 1/8/21,Las Vegas,Clark,,2020
12/5/2020,12/6/2020,Layoff,8,HUDL Brewing Company,Las Vegas,Clark,,2020
12/9/2020,12/9/2020,Layoff,65,Brady Linen - Foremaster,Las Vegas,Clark,,2020
12/16/2020,12/16/2020,Layoff,84,Brady Linen - Foremaster,Las Vegas,Clark,,2020
12/17/2020,3/19/2021,Layoff,1,CalAmp,Henderson,Clark,,2020
12/26/2021,2/25/2022,Layoff,36,Rawhide Mine,Fallon,Churchill,,2022
1/18/2022,4/9/2022,Closure,176,"Sodexo, Inc.",Las Vegas,Clark,,2022
2/3/2022,1/25/2022,Closure,7,Jones Sign,Reno,Washoe,,2022
2/15/2022,2/25/2022,Closure,31,Quality Transportation,Battle Mountain,Lander,,2022
2/18/2022,2/16/2022,Closure,76,Norgren Kloehn/ IMI Precision Engineering,Las Vegas,Clark,,2022
2/18/2022,2/18/2022,Layoff,26,Hyperloop Technologies dba Virgin Hyperloop,Moapa,Clark,,2022
3/2/2022,4/1/2022,Closure,20,Bentley Heritage,Minden,Douglas,,2022
2/24/2022,7/30/2022,Closure,55,Radial Inc.,Sparks,Washoe,,2022
3/8/2022,3/8/2022,Closure,5,"Empienda, LLC",Reno,Washoe,,2022
3/10/2022,2/16/2022,Closure,3,Ready Responders Inc.,Reno,Washoe,,2022
3/30/2022,5/30/2022,Closure,113,"TouchPoint Contract Centers, LLC",Henderson,Clark,,2022
4/4/2022,7/31/2022,Closure,69,Thrift Books,Reno,Washoe,,2022
4/13/2022,6/4/2022,Closure,147,Draken US,Las Vegas,Clark,,2022
4/19/2022,4/30/2022,Closure,15,Wet Hen Café,Reno,Washoe,,2022
4/19/2022,4/30/2022,Closure,30,West Elm (Williams Sonoma),Reno,Washoe,,2022
4/27/2022,6/30/2022,Closure,40,S.O.C. LLC,Hawthorne,Mineral,,2022
5/4/2022,6/1/2022,Closure,100,ExpressJet Airlines LLC,Reno,Washoe,,2022
5/24/2022,7/17/2022,Closure,35,Service Response Partners,Reno,Washoe,,2022
6/14/2022,6/16/2022,Layoff,10,ShipFushion Inc.,N. Las Vegas,Clark,,2022
6/20/2022,6/20/2022,Layoff,20,Robert Martinez Agency LLC,Henderson,Clark,,2022
7/13/2022,7/13/2022,Layoff,32,Nevada Copper Inc.,Yerington,Lyon,,2022
7/22/2022,7/25/2022,Closure,64,Celsius Network LLC,Las Vegas,Clark,,2022
7/26/2022,7/26/2022,Layoff,80,Trex Company,Fernley,Lyon,,2022
7/29/2022,8/1/2022,Closure,14,Ana's Café LLC,Fallon,Churchill,,2022
7/18/2022,7/31/2022,Layoff,40,Zenetex LLC,Fallon,Churchill,,2022
8/25/2022,8/17/2022,Closure,72,Multi‐Color Corporation dba MCC Label,Sparks,Washoe,,2022
9/7/2022,9/6/2022,Closure,74,The Recon Group DBA goTRG,N. Las Vegas,Clark,,2022
9/14/2022,8/31/2022,Closure,10,Local Press LLC,Las Vegas,Clark,,2022
9/14/2022,8/15/2022,Closure,100,Save Mart,Reno,Washoe,,2022
9/14/2022,9/26/2022,Layoff,25,Blossom Bariatrics,Las Vegas,Clark,,2022
9/19/2022,9/21/2022,Closure,30,Bed Bath & Beyond,Sparks,Washoe,,2022
9/13/2022,9/1/2022,Closure,50,Claim Jumper,Reno,Washoe,,2022
9/20/2022,9/21/2022,Closure,25,Textbook Brokers Inc.,Reno,Washoe,,2022
9/21/2022,10/31/2022,Closure,8,Wolf Pack Meats DBA UNR,Reno,Washoe,,2022
9/21/2022,9/30/2022,Closure,5,Sand Hill Dairy,Fallon,Churchill,,2022
10/13/2022,10/12/2022,Layoff,300,Clear Capital,Reno,Washoe,,2022
11/9/2022,11/9/2022,Layoff,50,Panorama Mortgage Group,Las Vegas,Clark,,2022
11/17/2022,11/17/2022,Layoff,5,Ham & More‐ Weinerschnitzel,Reno,Washoe,,2022
11/21/2022,11/21/2022,Closure,31,Jones Family of Companies,Las Vegas,Clark,,2022
12/1/2022,12/1/2022,Layoff,6,Hyperloop Technologies dba Virgin Hyperloop,Moapa,Clark,,2022
12/5/2022,12/5/2022,Closure,100,Wireless Advocates,Reno,Washoe,,2022
12/7/2022,12/7/2022,Layoff,1,Rume Health LLC,Las Vegas,Clark,,2022
12/20/2022,12/20/2022,Layoff,24,Legacy Supply Chain Services,Reno,Washoe,,2022
1/3/2023,3/4/2023,Closure,116,Custom Ink,Reno,Washoe,WARN,2023
1/5/2023,1/5/2023,Layoff,81,Monitronics International dba Brinks Home,Las Vegas,Clark,WARN,2023
1/5/2023,1/6/2023,Layoff,119,United Rentals,Las Vegas,Clark,WARN,2023
1/10/2023,3/11/2023,Closure,970,Desert Springs Hospital DBA Desert Springs Medical Group,Las Vegas,Clark,WARN,2023
1/11/2023,1/13/2023,Layoff,1,Specialized Bicycle Components,Las Vegas,Clark,WARN,2023
1/17/2023,1/13/2023,Layoff,61,Nevada Heart and Vascular Center,Las Vegas,Clark,WARN,2023
1/16/2023,1/17/2023,Layoff,1,Chipper Cash,Las Vegas,Clark,WARN,2023
2/22/2023,2/26/2023,Layoff,2,Rume Medical Group,Henderson,Clark,WARN,2023
2/28/2023,4/25/2023,Layoff,1,"Hyperloop Technologies, Inc.",Las Vegas,Clark,WARN,2023
3/20/2023,5/19/2023,Closure,218,"Jerritt Canyon Gold, LLC",Elko,Elko,WARN,2023
3/22/2023,6/3/2023,Closure,306,"Chewy, Inc.",McCarran,Washoe,WARN,2023
4/6/2023,4/6/2023,Layoff,90,Smaill Mine Development,Elko,Elko,WARN,2023
3/24/2023,5/26/2023,Layoff,184,Aspiration,Reno,Washoe,WARN,2023
4/6/2023,6/1/2023,Closure,708,Keolis Transit America,Las Vegas,Clark,WARN,2023
4/16/2023,8/20/2023,Closure,436,David's Bridal,Las Vegas,Clark,WARN,2023
4/25/2023,7/26/2023,Closure,60,Bed Bath and Beyond,Las Vegas,Clark,WARN,2023
4/26/2023,6/30/2023,Closure,6,Marco Rubber and Plastic,Las Vegas,Clark,WARN,2023
4/28/2023,6/28/2023,Layoff,9,"Makita U.S.A, Inc.",Las Vegas/Reno,Clark/Washoe,WARN,2023
4/28/2023,7/1/2023,Closure,NR,"MV Transportation, Inc.",Las Vegas,Clark,WARN,2023
5/1/2023,4/30/2023,Layoff,49,"Enrollease, Inc.",Las Vegas,Clark,WARN,2023
5/2/2023,7/1/2023,Layoff,4,"Hyperloop Technologies, Inc.",Moapa,Clark,WARN,2023
5/2/2023,7/1/2023,Closure,83,"Pitney Bowes, Inc.",Sparks,Washoe,WARN,2023
5/24/2023,6/30/2023,Layoff,27,Aspiration,Reno,Washoe,WARN,2023
5/30/2023,7/31/2023,Layoff,67,Saint Mary's Regional Center,Reno,Washoe,WARN,2023
6/7/2023,8/14/2023,Layoff,73,"Los Angeles Times Communications, LLC",Las Vegas,Clark,WARN,2023
6/14/2023,6/14/2023,Layoff,2,"Bitwise Industries, Inc.",Las Vegas/Reno,Clark/Washoe,WARN,2023
6/16/2023,8/15/2023,Layoff,2,"Prime Healthcare Services-Reno, LLC",Reno,Washoe,WARN,2023
6/16/2023,8/18/2023,Closure,100,"Aruze Gaming America, Inc.",Las Vegas,Clark,WARN,2023
7/10/2023,9/6/2023,Layoff,16,"PBS West, LLC",Reno,Washoe,WARN,2023
7/28/2023,9/30/2023,Closure,160,"LeafFilter North, LLC",Las Vegas/Sparks,Clark/Washoe,WARN,2023
7/30/2023,7/30/2023,Closure,255,Yellow Corporation,Las Vegas/Sparks/Elko,Clark/Washoe/Elko,WARN,2023
8/2/2023,10/1/2023,Closure,1552,"Rio Properties, LLC",Las Vegas,Clark,WARN,2023
8/11/2023,9/30/2023,Closure,73,"Centerra Group, LLC",Las Vegas,Clark,WARN,2023
8/11/2023,10/11/2023,Layoff,152,WynnBET,Las Vegas,Clark,WARN,2023
8/31/2023,11/29/2023,Layoff,23,Saint Mary's Regional Center,Reno,Washoe,WARN,2023
9/5/2023,12/31/2023,Closure,NR,"American Nursery Services, Inc.",Carson City,Carson,WARN,2023
9/14/2023,9/14/2023,Closure,62,Prime Trust,Las Vegas,Clark,WARN,2023
9/26/2023,9/27/2023,Closure,87,"Berry Global, Inc.",Jean,Clark,WARN,2023
10/10/2023,3/29/2024,Closure,77,Knowles Precision Devices,Minden,Douglas,WARN,2023
10/16/2023,10/31/2023,Closure,182,Controlled Contamination Services,Sparks,Washoe,WARN,2023
10/19/2023,12/21/2023,Closure,103,"TemperPack Technologies, Inc.",Reno,Washoe,WARN,2023
10/26/2023,12/15/2023,Closure,18,Cygnus Home Services,Reno/Las Vegas,Washoe/Clark,WARN,2023
11/7/2023,12/30/2023,Layoff,1,"Hyperloop Technologies, Inc.",Moapa,Clark,WARN,2023
11/20/2023,1/17/2023,Closure,40,Death in the Afternoon,Las Vegas,Clark,WARN,2023
11/28/2023,1/29/2024,Closure,44,HMI Glass,Verdi,Washoe,WARN,2023
12/6/2023,3/21/2024,Closure,43,OIA Global,Las Vegas,Clark,WARN,2023
12/7/2023,2/5/2024,Layoff,2,Saint Mary's Regional Medical Center,Reno,Washoe,WARN,2023
12/7/2023,2/7/2024,Closure,273,"Zulily, LLC",McCarran,Lyon,WARN,2023
1/1/2024,3/1/2024,Closure,55,"National Aviation Services, LLC",Las Vegas,Clark,WARN,2024
1/9/2024,3/31/2024,Closure,53,"Trademark Global, LLC",Reno,Washoe,WARN,2024
1/16/2024,3/18/2024,Closure,79,"Dura-Line, LLC",Sparks,Washoe,WARN,2024
1/16/2024,3/16/2024,Closure,117,"The Service Companies, INC.",Stateline,Douglas,WARN,2024
1/16/2024,3/16/2024,Closure,209,"The Service Companies, INC.",Laughlin,Clark,WARN,2024
1/18/2024,3/18/2024,Layoff,84,"ABM Industy Groups, LLC",Las Vegas,Clark,WARN,2024
1/23/2024,1/24/2024,Layoff,28,"eBay, Inc",Las Vegas,Clark,WARN,2024
1/23/2024,3/25/2024,Layoff,1,Los Angeles Times,Las Vegas,Clark,WARN,2024
1/29/2024,4/2/2024,Layoff,744,"Tropicana Las Vegas,Inc.",Las Vegas,Clark,WARN,2024
1/30/2024,3/30/2024,Layoff,4,"Block, Inc.",Henderson,Clark,WARN,2024
2/22/2024,4/22/2024,Layoff,69,Elite Line Services,Henderson,Clark,WARN,2024
2/22/2024,4/22/2024,Layoff,76,Elite Line Services,Las Vegas,Clark,WARN,2024
2/22/2024,4/22/2024,Layoff,23,Elite Line Services,North Las Vegas,Clark,WARN,2024
2/22/2024,4/22/2024,Layoff,75,Elite Line Services,Las Vegas,Clark,WARN,2024
2/28/2024,4/29/2024,Layoff,NR,"Certified Aviation Services, LLC",Las Vegas,Clark,WARN,2024
3/12/2024,5/3/2024,Layoff,37,"The Works Entertainment Newco, LLC",Las Vegas,Clark,WARN,2024
3/25/2024,5/15/2024,Closure,188,IMCMV LV LLC (Margaritaville),Las Vegas,Clark,WARN,2024
3/26/2024,5/26/2024,Closure,75,"FM Restaurant HQ, LLC (rescinded by employer 5/28/2024)",Las Vegas,Clark,WARN,2024
4/1/2024,5/31/2024,Closure,1,"Volta Charging Industries, LLC",Las Vegas,Clark,WARN,2024
4/5/2024,6/15/2024,Closure,127,"Convey Health Solutions, INC.",Las Vegas,Clark,WARN,2024
4/10/2024,7/7/2024,Closure,204,"Cirque du Soleil Nevada Newco, Inc.",Las Vegas,Clark,WARN,2024
4/19/2024,6/14/2024,Layoff,693,"Tesla, Inc.",Sparks,Washoe,WARN,2024
4/29/2024,7/3/2024,Closure,NR,"99 Cent Only Stores, LLC",Multiple,"Washoe, Clark, Carson",WARN,2024
5/7/2024,7/6/2024,Layoff,129,Motional AD Inc.,Las Vegas,Clark,WARN,2024
5/10/2024,7/9/2024,Closure,94,Holsteins (Local Grown LLC),Las Vegas,Clark,WARN,2024
5/15/2024,7/17/2024,Closure,3350,"The Mirage Casino-Hotel, LLC",Las Vegas,Clark,WARN,2024
5/17/2024,7/17/2024,Closure,40,Still LLC,Las Vegas,Clark,WARN,2024
6/10/2024,8/9/2024,Layoff,117,Nevada Copper INC,Yerington,Lyon,WARN,2024
