received_date,effective_date,type,affected,employer,city,county,notification,source_year
3/16/2020,3/13/2020,Layoff,181,Wet Republic Ultra Pool,Las Vegas,Clark,,2020
3/16/2020,3/13/2020,Layoff,58,Searsucker Las Vegas Reastaurant,Las Vegas,Clark,,2020
3/16/2020,3/13/2020,Layoff,364,OMNIA Nightclub,Las Vegas,Clark,,2020
3/16/2020,3/13/2020,Layoff,342,Hakkasan Nightclub,Las Vegas,Clark,,2020
3/16/2020,3/13/2020,Layoff,50,Liquid Pool Lounge,Las Vegas,Clark,,2020
3/16/2020,3/13/2020,Layoff,78,Hakkasan Restaurant,Las Vegas,Clark,,2020
3/16/2020,3/13/2020,Layoff,130,Jewel Nightclub,Las Vegas,Clark,,2020
3/17/2020,3/15/2020,Layoff,3200,"PHWLV, LLC",Las Vegas,Clark,,2020
3/19/2020,3/16/2020,Layoff,113,Kre8 Media,Las Vegas,Clark,,2020
3/20/2020,3/18/2020,Layoff,229,Gaudin Motor Company,"He, LV",Clark,,2020
3/20/2020,3/16/2020,Layoff,299,Westin Las Vegas Hotel & Spa,Las Vegas,Clark,,2020
3/20/2020,3/17/2020,Layoff,261,Renaissance Las Vegas Hotel,Las Vegas,Clark,,2020
3/20/2020,3/16/2020,Layoff,432,OYO Hotel & Casino,Las Vegas,Clark,,2020
3/23/2020,3/18/2020,Layoff,55,"ASC Operations, LLC",Las Vegas,Clark,,2020
3/23/2020,3/21/2020,Layoff,86,"Hakkasan Holdings, LLC",Las Vegas,Clark,,2020
3/23/2020,3/20/2020,Closure,7,"Mahana Spa, LLC",Las Vegas,Clark,,2020
3/23/2020,3/23/2020,Layoff,36,"BBD West, Inc. - Reno",Reno,Washoe,,2020
3/23/2020,3/23/2020,Layoff,36,"BBD West, Inc. - Fernley",Fernley,Lyon,,2020
3/23/2020,3/23/2020,Layoff,43,"BBD West, Inc. - Sparks",Sparks,Washoe,,2020
3/24/2020,3/22/2020,Layoff,9,Go Rentals,"LV, Re","Cl, Wa",,2020
3/24/2020,3/16/2020,Layoff,136,"Carmine's Las Vegas, LLC",Las Vegas,Clark,,2020
3/24/2020,3/18/2020,Layoff,128,Virgil's Real Barbecue,Las Vegas,Clark,,2020
3/24/2020,3/18/2020,Layoff,93,Sugarcane Raw Bar & Grill,Las Vegas,Clark,,2020
3/25/2020,4/2/2020,Layoff,76,Somerpointe - Tahiti Village,Las Vegas,Clark,,2020
3/25/2020,3/23/2020,Layoff,143,Everi - Corporate Headquarters,Las Vegas,Clark,,2020
3/25/2020,4/2/2020,Layoff,5,Somerpointe - Club de Soleil Resort,Las Vegas,Clark,,2020
3/25/2020,3/24/2020,Layoff,68,Soleil - Club de Soleil Resort,Las Vegas,Clark,,2020
3/25/2020,3/24/2020,Layoff,309,Soleil - Tahiti Village Resort,Las Vegas,Clark,,2020
3/25/2020,3/17/2020,Layoff,181,"King's Seafood Company, LLC",Henderson,Clark,,2020
3/25/2020,3/25/2020,Layoff,36,"Greyhound Lines, Inc.",Las Vegas,Clark,,2020
3/25/2020,3/23/2020,Layoff,37,Everi - Games Studio,Reno,Washoe,,2020
3/25/2020,3/23/2020,Layoff,106,Everi - FinTech Innovation Center,Las Vegas,Clark,,2020
3/25/2020,3/23/2020,Layoff,19,Everi - Production Facility,Las Vegas,Clark,,2020
3/26/2020,3/27/2020,Layoff,373,Hard Rock Hotel & Casino,Stateline,Douglas,,2020
3/26/2020,3/23/2020,Layoff,193,PRA Group,Henderson,Clark,,2020
3/26/2020,3/20/2020,Layoff,56,"Alsco - Reno, Carson City","Re, CC","Wa, CC",,2020
3/26/2020,3/17/2020,Layoff,2225,Treasure Island Hotel & Casino,Las Vegas,Clark,,2020
3/26/2020,3/27/2020,Layoff,17,Xtreme Manufacturing,Henderson,Clark,,2020
3/27/2020,3/23/2020,Layoff,97,Wemco Inc.,McCarran,Washoe,,2020
3/27/2020,3/20/2020,Layoff,850,Cirque du Soleil,Las Vegas,Clark,,2020
3/27/2020,3/27/2020,Layoff,290,Elara by Hilton Grand Vactions,Las Vegas,Clark,,2020
3/29/2020,3/27/2020,Layoff,68,Blue Ribbon Restaurants,Las Vegas,Clark,,2020
3/29/2020,3/27/2020,Layoff,71,Blue Ribbon Restaurants,Las Vegas,Clark,,2020
3/30/2020,4/2/2020,Layoff,68,Wyndham Vacation Ownership,Las Vegas,Clark,,2020
3/30/2020,3/31/2020,Layoff,25,"JusTours, Inc.",Henderson,Clark,,2020
3/30/2020,3/17/2020,Layoff,620,Tuscany Suites & Casino,Las Vegas,Clark,,2020
3/30/2020,3/30/2020,Layoff,71,Slanted Door Las Vegas,Las Vegas,Clark,,2020
3/30/2020,3/18/2020,Layoff,451,Eldorado Resorts Corp.,"LV, NLV",Clark,,2020
3/30/2020,3/29/2020,Layoff,15,Paper Source,Las Vegas,Clark,,2020
3/30/2020,3/27/2020,Layoff,11,"Legacy Transportation Services, Inc.",Las Vegas,Clark,,2020
3/31/2020,3/30/2020,Layoff,42,Ahern Rentals,"He, LV,NLV, Ga","Cl, Do",,2020
3/31/2020,3/31/2020,Layoff,132,Momofuku Restaurant,Las Vegas,Clark,,2020
4/1/2020,3/23/2020,Layoff,318,Roof Deck Entertainment,Las Vegas,Clark,,2020
4/1/2020,3/23/2020,Layoff,141,Strip View Entertainment,Las Vegas,Clark,,2020
4/1/2020,3/23/2020,Layoff,164,Guapo Bodega Las Vegas,Las Vegas,Clark,,2020
4/1/2020,3/20/2020,Layoff,67,Cirque du Soleil - Blue Man,Las Vegas,Clark,,2020
4/1/2020,3/23/2020,Layoff,171,Buddha Entertainment,Las Vegas,Clark,,2020
4/1/2020,3/23/2020,Layoff,296,TAO LV Restaurant,Las Vegas,Clark,,2020
4/2/2020,3/25/2020,Layoff,139,"Sport Clips, Inc.","He, LV, NLV",Clark,,2020
4/2/2020,4/3/2020,Layoff,62,Grandview At Las Vegas,Las Vegas,Clark,,2020
4/3/2020,3/20/2020,Layoff,56,Alsco Las Vegas,Las Vegas,Clark,,2020
4/3/2020,3/18/2020,Closure,81,Benihana Las Vegas Corp.,Las Vegas,Clark,,2020
4/3/2020,3/26/2020,Layoff,485,"Cinemark USA, Inc.","He, LV, Re","Cl, Wa",,2020
4/3/2020,3/20/2020,Closure,47,Ra Sushi Las Vegas Corp,Las Vegas,Clark,,2020
4/3/2020,3/31/2020,Layoff,552,Trump Ruffin Commercial,Las Vegas,Clark,,2020
4/6/2020,3/16/2020,Layoff,125,SBE,Las Vegas,Clark,,2020
4/6/2020,4/3/2020,Layoff,97,"JIPC Las Vegas, LLC",Las Vegas,Clark,,2020
4/6/2020,4/3/2020,Layoff,950,Hilton Resorts Corp.,Las Vegas,Clark,,2020
