received,employer,city,region,layoff_dates,employees
2022-11-03,"Sumitomo Pharma America Holdings, Inc./Sunovian Pharmaceuticals, Inc.",Marlborough,Metro Southwest,2023-01-13,360
2023-04-27,"Sumitomo Pharma America Holdings, Inc./Sunovian Pharmaceuticals, Inc.",Marlborough,Metro Southwest,2023-06-30,84
2023-04-27,"Sumitomo Pharma Oncology, Inc.",Marlborough,Metro Southwest,2023-06-30,38
2023-04-27,"Sunovian Pharmaceuticals, Inc.",Marlborough,Metro Southwest,2023-06-30,101
2023-04-28,"Makita USA, Inc,",Norwood,Metro Southwest,2023-06-28,4
2023-05-01,"Takeda - Shire Human Genetic Therapies Inc. (""SHGT"")",Lexington,Metro Southwest,To begin early 7/2023 and will be completed no later than 12/2023,42
2023-05-09,"The Rockport Company, LLC",Newton,Metro Southwest,7/8/2023 - 7/22/2023,148
2023-05-31,"Greenlight Biosciences, Inc.",Lexington,Metro Southwest,2023-07-29,96
2022-08-04,Envision Bank,Braintree,Southeast,10/3/2022 - 2/4/2023,2
2022-08-04,Envision Bank,Quincy,Southeast,10/3/2022 - 2/4/2023,33
2022-08-04,Envision Bank,Westport,Southeast,10/3/2022 - 2/4/2023,1
2022-08-04,Envision Bank,Randolph,Southeast,10/3/2022 - 2/4/2023,15
2022-08-04,Envision Bank,Abington,Southeast,10/3/2022 - 2/4/20223,
2022-08-04,Envision Bank,Holbrook,Southeast,2022-11-04,15
2022-08-15,"Lockheed Martin Sippican Corporation, Rotary and Mission Systems",Marion,Southeast,10/27/2022-12/22/2022,80
2022-10-28,Rockland Congruity LLC,Pembroke,Southeast,11/18/2022 - 12/31/2022,23
2022-12-01,"Transdev Services, Inc.","Taunton, Plymouth",Southeast,2023-01-31,137 Total
2022-12-19,Owens & Minor,Franklin,Southeast,2023-02-17,61
2023-03-27,Blue Harvest Fisheries,New Bedford,Southeast,2023-05-26,57
2023-04-14,David's Bridal,North Attelboro,Southeast,4/14/2023 - 8/11/2023,work in progress
2023-04-14,David's Bridal,Dartmouth,Southeast,4/14/2023 - 8/11/2023,work in progress
2023-06-30,Christmas Tree Shops LLC,Middleboro,Southeast,2023-07-07,223
2022-08-03,Envision Bank,Salem,Northeast,10/3/2022 -2/4/2022,4
2022-10-21,"Starry, Inc.",Lowell,Northeast,2022-10-21,32
2022-12-19,"Randstand US, LLC",Danvers,Northeast,2022-12-05,144
2023-01-19,"EMD Serono Research & Development Institute, Inc.",Billerica,Northeast,2023-03-21,133
2023-02-27,"Rousselot, Inc,",Peabody,Northeast,6/30/23 - 12/31/23,84
2023-03-23,"EMD Serono Research & Development Institute, Inc.",Billerica,Northeast,5/22/23 - 6/4/23,6
2023-04-13,David's Bridal,Danvers,Northeast,4/14/2023 - 8/11/2023,work in progress
2022-07-01,Trinity Health at Home,West Springfield,West,2022-09-05,60
2022-10-28,Westover Job Corps Center,Chicopee,West,2022-11-30,41
2022-11-30,Spectrum Plastics Group,Athol,West,2023-03-31,59
2022-02-07,Northeast Health Group d/b/a Chapin Center,Springfield,West,2023-04-07,105
2023-02-07,Northeast Health Group d/b/a Governor's Center,Westfield,West,2023-04-07,55
2022-02-07,Northeast Health Group d/b/a Willimansett Center West,Chicopee,West,2023-04-07,56
