Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
Island Peer Review Org Inc. (IPRO),2025-07-14,2025-03-26,2025-05-22,"1979 Marcus Ave., Ste. 105  Lake Success, NY, 11042",Nassau,Layoff,Permanent,Contract Expiration,16,161,161
"Jones Lang LaSalle, Inc.",2025-12-31,2025-12-31,2026-02-13,"6000 Thompson Road  East Syracuse, NY, 13057",Onondaga,Layoff,Permanent,Economic,11,20,20
"Kimber Mfg., Inc.",2026-02-09,2025-11-07,2025-12-09,"1120 Saw Mill River Rd.  Yonkers, NY, 10710",Westchester,Closure,Permanent,Relocation of Business,3,69,69
"KIND, Inc.",2025-03-31,2025-03-27,2025-04-16,"252 W. 37th Street Suite 1500 New York, NY, 10018",New York,Layoff,Permanent,Contract Termination,39,39,39
King Delivery LLC,2025-10-20,2025-10-13,2026-01-28,"640 Columbia St  Brooklyn, NY, 11231",Kings,Closure,Permanent,Contract Loss Contract Termination,1,200,200
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-11,"Audubon 3940 Broadway New York, NY, 10032",New York,Closure,Permanent,Contract Loss,31,1,1
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-07,"Audubon 3940 Broadway New York, NY, 10032",New York,Closure,Permanent,Contract Loss,47,1,1
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-11,"BAT (Brooklyn Army Terminal) 80 58th St Brooklyn, NY, 11220",Kings,Closure,Permanent,Contract Loss,22,10,10
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-07,"BAT (Brooklyn Army Terminal) 80 58th St Brooklyn, NY, 11220",Kings,Closure,Permanent,Contract Loss,38,10,10
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-11,"BMT (Brooklyn Marine Terminal) 90 Columbia St Brooklyn, NY, 11201",Kings,Closure,Permanent,Contract Loss,23,1,1
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-07,"BMT (Brooklyn Marine Terminal) 90 Columbia St Brooklyn, NY, 11201",Kings,Closure,Permanent,Contract Loss,39,1,1
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-11,"Brooklyn Wholesome Meat Market 5601 1st Ave Brooklyn, NY, 11220",Kings,Closure,Permanent,Contract Loss,24,2,2
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-07,"Brooklyn Wholesome Meat Market 5601 1st Ave Brooklyn, NY, 11220",Kings,Closure,Permanent,Contract Loss,40,2,2
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-11,"Bush Terminal Piers Park 51-1 43rd St MADE Bush Terminal Brooklyn, NY, 11232",Kings,Closure,Permanent,Contract Loss,25,3,3
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-07,"Bush Terminal Piers Park 51-1 43rd St MADE Bush Terminal Brooklyn, NY, 11232",Kings,Closure,Permanent,Contract Loss,41,3,3
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-11,"College Point 80 58th St Brooklyn, NY, 11220",Kings,Closure,Permanent,Contract Loss,26,4,4
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-07,"College Point 80 58th St Brooklyn, NY, 11220",Kings,Closure,Permanent,Contract Loss,42,4,4
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-11,"Ferry Landings 80 58th Street Brooklyn, NY, 11201",Kings,Closure,Permanent,Contract Loss,27,10,10
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-07,"Ferry Landings 80 58th Street Brooklyn, NY, 11201",Kings,Closure,Permanent,Contract Loss,43,10,10
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-11,"Hunts Point 800 Food Center Dr Bronx, NY, 10474",Bronx,Closure,Permanent,Contract Loss,20,5,5
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-07,"Hunts Point 800 Food Center Dr Bronx, NY, 10474",Bronx,Closure,Permanent,Contract Loss,36,5,5
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-11,"Julia De Burgos Center 1681 Lexington Avenue New York, NY, 10029",New York,Closure,Permanent,Contract Loss,32,2,2
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-07,"Julia De Burgos Center 1681 Lexington Avenue New York, NY, 10029",New York,Closure,Permanent,Contract Loss,48,2,2
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-11,"Kingsbridge Armory 29 West Kingsbridge Rd Bronx, NY, 10468",Kings,Closure,Permanent,Contract Loss,28,1,1
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-07,"Kingsbridge Armory 29 West Kingsbridge Rd Bronx, NY, 10468",Kings,Closure,Permanent,Contract Loss,44,1,1
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-11,"MADE Bush Terminal 13 42nd St Brooklyn, NY, 11232",Kings,Closure,Permanent,Contract Loss,29,2,2
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-07,"MADE Bush Terminal 13 42nd St Brooklyn, NY, 11232",Kings,Closure,Permanent,Contract Loss,45,2,2
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-11,"New Fulton Fish Market 800 Food Center Dr Bronx, NY, 10474",Bronx,Closure,Permanent,Contract Loss,21,7,7
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-07,"New Fulton Fish Market 800 Food Center Dr Bronx, NY, 10474",Bronx,Closure,Permanent,Contract Loss,37,7,7
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-11,"Pier 11 Wall St (Waterfront) Manhattan, NY, 10005",New York,Closure,Permanent,Contract Loss,33,4,4
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-07,"Pier 11 Wall St (Waterfront) Manhattan, NY, 10005",New York,Closure,Permanent,Contract Loss,49,4,4
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-11,"South Street Seaport 19 Fulton St New York, NY, 10038",New York,Closure,Permanent,Contract Loss,34,1,1
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-07,"South Street Seaport 19 Fulton St New York, NY, 10038",New York,Closure,Permanent,Contract Loss,50,1,1
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-11,"Staten Island Esplandes 1 Bay St Staten Island, NY, 10301",Richmond,Closure,Permanent,Contract Loss,35,4,4
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-07,"Staten Island Esplandes 1 Bay St Staten Island, NY, 10301",Richmond,Closure,Permanent,Contract Loss,51,4,4
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-11,"Vacant Lot  Brooklyn, NY, 11220",Kings,Closure,Permanent,Contract Loss,30,3,3
"Klēn Space, Inc.",2025-12-31,2025-06-30,2025-10-07,"Vacant Lot  Brooklyn, NY, 11220",Kings,Closure,Permanent,Contract Loss,46,3,3
"KORE Wireless, Inc. and Integron, LLC.",2025-07-28,2025-04-29,2025-08-18,"3750 Monroe Avenue Suite 300 Pittsford, NY, 14534",Monroe,Closure,Permanent,Economic,46,51,51
L&M Bus Corporation,2025-10-31,2025-10-20,2025-12-29,"80 Edison Avenue  Mt Vernon, NY, 10550",Westchester,Layoff,Temporary,Contract Termination,5,28,28
L&M Bus Corporation,2025-10-31,2025-10-20,2025-12-29,"940 Remsen Ave  Brooklyn, NY, 11236",Kings,Layoff,Temporary,Contract Termination,4,395,395
"Laboratory Alliance of Central New York, LLC.",2026-03-16,2025-12-16,2026-03-13,"113 Innovation Lane  Liverpool, NY, 13088",Onondaga,Closure,Permanent,Sale of Business,17,45,45
"Landey EV Dispatch, Inc.",2025-08-22,2025-08-11,2025-09-25,"31-00 47th Ave, Suite 2115  Brooklyn, NY, 11101",Queens,Closure,Permanent,Other,21,13,13
"Legends Hospitality, LLC.",2025-04-02,2025-01-02,2025-01-08,"450 West 33rd Street  New York, NY, 10001",New York,Closure,Permanent,Contract Termination,43,68,68
"Lynx Logistics, LLC.",2025-09-12,2025-09-23,2025-12-17,"1502 Bassett Ave  Bronx, NY, 10461",Bronx,Closure,Permanent,Contract Termination,6,53,53
"Macy’s Retail Holdings, Inc.",2025-03-23,2025-01-09,2025-02-13,"397 Greece Ridge Center Macy’s Mall at Greece Ridge #71143 Rochester, NY, 14626",Monroe,Closure,Permanent,Economic,256,50,50
"Macy’s Retail Holdings, Inc.",2025-03-23,2025-01-09,2025-02-13,"400 Sunrise Mall Macy’s Sunrise New York #71032 Massapequa, NY, 11758",Nassau,Closure,Permanent,Economic,257,77,77
Mark D. Fromer MD PC.,2025-08-15,2025-09-22,2025-11-17,"3130 Grand Concourse  Bronx, NY, 10458",Bronx,Closure,Permanent,Other,11,31,31
"Maximus, Inc.",2026-03-31,2025-12-23,2026-02-09,"30 Broad St, 18th Floor New York, NY, 10004",New York,Layoff,Permanent,Other,6,44,44
"Maximus, Inc.",2025-09-30,2025-07-02,2025-07-09,"92-31 Union Hall St 4th Floor Jamaica, NY, 11433",Queens,Closure,Permanent,Contract Termination,17,40,40
"Mental Health Association of New York City, Inc.",2025-06-15,2025-02-13,2025-03-21,"2488 Grand Concourse Floor 2 Bronx, NY, 10458",Bronx,Closure,Permanent,Contract Termination,41,36,36
"Mercantile Adjustment Bureau, LLC",2025-06-30,2025-06-01,2025-09-04,"165 Lawrence Bell Drive Suite 100 Williamsville, NY, 14221",Erie,Layoff,Temporary,Contract Loss Contract Termination Economic Funding Loss Sale of Business,1,128,128
"Mercer Culinary, LLC.",2025-11-28,2025-07-09,2026-03-25,"1860 Smithtown Avenue  Ronkonkoma, NY, 11779",Suffolk,Layoff,Permanent,Economic,7,35,35
Metro Mattress Corporation,2025-11-07,2025-10-06,2025-10-23,"3545 John Glenn Blvd.  Syracuse, NY, 13209",Onondaga,Closure,Permanent,Bankruptcy,5,36,36
Morgan Stanley,2025-06-17,2025-03-26,2025-05-21,"55 East 52nd Street  New York, NY, 10055",New York,Layoff,Permanent,Other,36,3,3
Morgan Stanley,2025-06-17,2025-03-26,2025-05-21,"100 Park Avenue  New York, NY, 10017",New York,Layoff,Permanent,Other,37,2,2
Morgan Stanley,2025-06-17,2025-03-26,2025-05-21,"399 Park Avenue  New York, NY, 10022",New York,Layoff,Permanent,Other,38,3,3
Morgan Stanley,2025-06-17,2025-03-19,2025-05-21,"750  7th Avenue  New York, NY, 10019",New York,Layoff,Permanent,Other,42,89,89
Morgan Stanley,2025-06-17,2025-03-26,2025-05-21,"1221 Avenue of Americas  New York, NY, 10020",New York,Layoff,Permanent,Other,39,1,1
Morgan Stanley,2025-09-09,2025-06-11,2026-01-23,"1585 Broadway  New York, NY, 10036",New York,Layoff,Permanent,Other,8,31,31
Morgan Stanley,2025-06-17,2025-03-26,2025-05-21,"1585 Broadway  New York, NY, 10036",New York,Layoff,Permanent,Other,40,84,84
Morgan Stanley,2025-06-17,2025-03-26,2025-05-21,"1633 Broadway  New York, NY, 10019",New York,Layoff,Permanent,Other,41,47,47
"MS Expert Logistics, LLC.",2025-09-01,2025-06-03,2025-06-05,"640 Columbia Street  Brooklyn, NY, 11231",Kings,Closure,Permanent,Economic,56,104,104
"Mt. McKinley Managers, LLC.",2026-03-31,2025-12-15,2026-03-16,"1155 Avenue of the Americas Mt. McKinley Managers, LLC. New York, NY, 10036",New York,Layoff,Permanent,Other,4,8,8
Mulligan Security LLC,2025-04-25,2025-04-04,2025-06-12,"45 East 45th Street  New York, NY, 10017",New York,Closure,Permanent,Contract Loss,61,111,111
"Mulligan Security, LLC.",2025-03-06,2025-01-31,2025-02-11,"47 Hall Street  Brooklyn, NY, 11205",Kings,Closure,Permanent,Contract Loss,66,409,409
"Mulligan Security, LLC.",2025-07-14,2025-04-15,2025-04-24,"47-11 Austelle Place  Long Island City, NY, 11107",Queens,Closure,Permanent,Contract Termination,35,73,73
"Mulligan Security, LLC.",2025-07-14,2025-04-15,2025-04-24,"119 Avenue B  New York, NY, 10009",New York,Closure,Permanent,Contract Termination,34,13,13
"Mulligan Security, LLC.",2025-07-14,2025-04-15,2025-04-24,"455 Jefferson  East Williamsburg, NY, 11237",Kings,Closure,Permanent,Contract Termination,33,84,84
"National Express d/b/a Quality Bus Service, LLC.",2025-06-27,2025-03-25,2025-04-03,"43 Andrews Lane  Chester, NY, 10918",Orange,Closure,Permanent,Contract Loss,64,81,81
"NEP Group, Inc.",2025-06-02,2025-03-01,2025-03-13,"89 South Street  New York, NY, 10002",New York,Layoff,Permanent,Contract Expiration,17,26,26
"NeueHouse Management, LLC.",2025-09-05,2025-09-03,2026-02-13,"110 East 25th Street  New York, NY, 10010",New York,Closure,Permanent,Bankruptcy,1,60,60
"NeueHouse Management, LLC.",2025-09-05,2025-09-03,2026-02-13,"373 Park Avenue S 5th Floor New York, NY, 10016",New York,Closure,Permanent,Bankruptcy,2,0,0
"Nice Pak Products, LLC.",2025-10-10,2025-09-23,2026-04-14,"1 Blue Hill Plaza  Pearl River, NY, 10965",Rockland,Closure,Permanent,Sale of Business,1,54,54
"NIKE Retail Services, Inc.",2026-01-31,2025-10-31,2025-12-03,"529 Broadway  New York, NY, 10002",New York,Closure,Permanent,Relocation of Business,4,87,87
"Nogin Commerce, LLC.",2025-03-16,2025-03-16,2025-03-24,"15 West 38th Street Unit 501 New York, NY, 10018",New York,Closure,Permanent,Economic,244,20,20
"Northern Lights Enterprises, Inc.",2025-02-26,2025-02-26,2025-03-07,"3474 Andover Road  Wellsville, NY, 14895",Allegany,Layoff,Permanent,Other,53,38,38
"Nuttall Gear, LLC.",2025-09-05,2025-05-08,2025-10-22,"2221 Niagara Falls Blvd  Niagara Falls, NY, 14304",Niagara,Closure,Permanent,Relocation of Business,5,60,60
"NYP Holdings, Inc.",2025-08-31,2025-05-29,2025-06-03,"31-70 College Point Blvd  Queens, NY, 11354",Queens,Layoff,Permanent,Other,34,83,83
"Ocean View Family Residence, LLC.",2025-06-30,2025-04-01,2025-04-02,"2221 Loretta Road  Far Rockaway, NY, 11691",Queens,Closure,Permanent,Expiration of Lease,6,29,29
"Odeko, Inc.",2025-06-30,2025-03-31,2025-04-11,"11-25 Broadway  Astoria, NY, 11106",Queens,Closure,Permanent,Relocation of Business,11,61,61
"Old Navy, Inc.",2025-07-11,2025-04-11,2025-04-16,"150 W 34th Street  New York, NY, 10001",New York,Closure,Permanent,Economic,241,95,95
OTG Management - Terminal 5,2025-06-02,2025-03-03,2025-04-17,"JFK International Airport Terminal 5 Jamaica, NY, 11430",Queens,Layoff,Permanent,Economic,239,66,66
OTG Management - Terminal 8,2025-08-31,2025-03-03,2025-04-17,"JFK International Airport Terminal 8 Jamaica, NY, 11430",Queens,Closure,Permanent,Economic,240,41,41
"Pace Field Services, LLC.",2025-02-06,2025-02-06,2025-03-06,"41 Box Street  Brooklyn, NY, 11222",Kings,Closure,Permanent,Economic,250,57,57
Pace Plumbing Corp.,2025-02-06,2025-02-06,2025-02-27,"41 Box Street  Brooklyn, NY, 11222",Kings,Closure,Permanent,Economic,253,214,214
Paladin Technologies (USA) Inc.,2025-11-18,2025-11-18,2026-02-23,"12 West 21st St.  New York, NY, 10010",New York,Closure,Permanent,Economic,8,48,48
"Paradies-JFK, LLC",2025-10-31,2025-08-01,2025-09-04,"JFK Expressway Terminal 4 Jamaica, NY, 11430",Queens,Layoff,Permanent,Contract Termination,15,14,14
Paramount Global,2025-09-08,2025-06-10,2025-10-03,"513 W. 57th Street  New York, NY, 10019",New York,Layoff,Permanent,Economic,33,1,1
Paramount Global,2025-09-08,2025-06-10,2025-09-17,"513 W. 57th Street  New York, NY, 10019",New York,Layoff,Permanent,Economic,40,1,1
Paramount Global,2025-09-08,2025-06-10,2025-10-03,"524 W. 57th Street  New York, NY, 10019",New York,Layoff,Permanent,Economic,34,7,7
Paramount Global,2025-09-08,2025-06-10,2025-09-17,"524 W. 57th Street  New York, NY, 10019",New York,Layoff,Permanent,Economic,41,7,7
Paramount Global,2025-09-08,2025-06-10,2025-10-03,"555 W. 57th Street  New York, NY, 10019",New York,Layoff,Permanent,Economic,35,11,11
Paramount Global,2025-09-08,2025-06-10,2025-09-17,"555 W. 57th Street  New York, NY, 10019",New York,Layoff,Permanent,Economic,42,11,11
Paramount Global,2025-09-08,2025-06-10,2025-10-03,"1515 Broadway  New York, NY, 10036",New York,Layoff,Permanent,Economic,36,244,244
Paramount Global,2025-09-08,2025-06-10,2025-09-17,"1515 Broadway  New York, NY, 10036",New York,Layoff,Permanent,Economic,43,244,244
Paramount  Skydance Corporation,2026-01-15,2025-10-29,2026-05-06,"513 W. 57th Street  New York, NY, 10019",New York,Layoff,Permanent,Economic,1,5,5
Paramount  Skydance Corporation,2026-01-15,2025-10-29,2026-05-06,"514 W. 57th Street  New York, NY, 10019",New York,Layoff,Permanent,Economic,2,3,3
Paramount  Skydance Corporation,2026-01-15,2025-10-29,2026-05-06,"524 W. 57th Street  New York, NY, 10019",New York,Layoff,Permanent,Economic,3,117,117
Paramount  Skydance Corporation,2026-01-15,2025-10-29,2026-05-06,"530 W. 57th St  New York, NY, 10019",New York,Layoff,Permanent,Economic,4,1,1
Paramount  Skydance Corporation,2026-01-15,2025-10-29,2026-05-06,"555 W. 57th Street  New York, NY, 10019",New York,Layoff,Permanent,Economic,5,29,29
Paramount  Skydance Corporation,2026-01-15,2025-10-29,2026-05-06,"1515 Broadway  New York, NY, 10036",New York,Layoff,Permanent,Economic,6,350,350
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"11 East Gunhill Road  Bronx, NY, 10467",Bronx,Closure,Permanent,Funding Loss,2,6,6
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"30-08 Broadway  Astoria, NY, 11106",Queens,Closure,Permanent,Funding Loss,82,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"30-14 31st St  Astoria, NY, 11102",Queens,Closure,Permanent,Funding Loss,83,4,4
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"30-31 Stratton Street  Flushing, NY, 11354",Queens,Closure,Permanent,Funding Loss,84,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"37-74 90th St  Jackson Heights, NY, 11372",Queens,Closure,Permanent,Funding Loss,85,8,8
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"40-35B 21st St  Long Island City, NY, 11101",Queens,Closure,Permanent,Funding Loss,86,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"44-66 21st Street  Long Island City, NY, 11101",Queens,Closure,Permanent,Funding Loss,87,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"46-14 Queens Blvd  Sunnyside, NY, 11104",Queens,Closure,Permanent,Funding Loss,88,7,7
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"53-05 108th Street  Corona, NY, 11368",Queens,Closure,Permanent,Funding Loss,89,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"56-54 Myrtle Ave  Ridgewood, NY, 11385",Queens,Closure,Permanent,Funding Loss,90,4,4
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"57 Pitt Street  New York, NY, 10002",New York,Closure,Permanent,Funding Loss,71,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"58-14 Roosevelt Ave  Woodside, NY, 11377",Queens,Closure,Permanent,Funding Loss,91,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"60-29 Myrtle Ave  Ridgewood, NY, 11385",Queens,Closure,Permanent,Funding Loss,92,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"68-20 Queens Blvd  Woodside, NY, 11377",Queens,Closure,Permanent,Funding Loss,93,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"71-04 Kissena Blvd  Flushing, NY, 11367",Queens,Closure,Permanent,Funding Loss,94,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"92-40 Guy R Brewer Blvd  Jamaica, NY, 11433",Queens,Closure,Permanent,Funding Loss,95,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"94 8th Ave  New York, NY, 10011",New York,Closure,Permanent,Funding Loss,72,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"99-25 Horace Harding Expwy  Corona, NY, 11368",Queens,Closure,Permanent,Funding Loss,96,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"102-10 Roosevelt Ave.  Corona, NY, 11368",Queens,Closure,Permanent,Funding Loss,97,5,5
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"102-26 Atlantic Ave  Ozone Park, NY, 11416",Queens,Closure,Permanent,Funding Loss,98,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"105-16 Cross Bay Blvd  Ozone Park, NY, 11417",Queens,Closure,Permanent,Funding Loss,99,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"115 Essex Street  Brooklyn, NY, 10002",New York,Closure,Permanent,Funding Loss,73,2,2
Pay-O-Matic Corp.,2025-09-12,2025-09-12,2025-12-24,"115 West 23rd Street  New York, NY, 10011",New York,Closure,Permanent,Funding Loss,110,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"120 Featherbed Lane  Bronx, NY, 10452",Bronx,Closure,Permanent,Funding Loss,3,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"126 Graham Ave  Brooklyn, NY, 11206",Kings,Closure,Permanent,Funding Loss,32,6,6
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"129A West Sunrise Highway  Freeport, NY, 11520",Nassau,Closure,Permanent,Funding Loss,68,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"151 Vanderbilt Ave  Brooklyn, NY, 11205",Kings,Closure,Permanent,Funding Loss,33,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"159 East 170th Street  Bronx, NY, 10452",n/a,Closure,Permanent,Funding Loss,67,5,5
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"160 Oak Drive  Syosset, NY, 11791",Nassau,Closure,Permanent,Funding Loss,69,27,27
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"160-39 Rockaway Blvd  Jamaica, NY, 11434",Queens,Closure,Permanent,Funding Loss,100,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"166-30 Jamaica Ave  Jamaica, NY, 11432",Queens,Closure,Permanent,Funding Loss,101,14,14
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"168 Greenpoint Ave  Brooklyn, NY, 11222",Kings,Closure,Permanent,Funding Loss,34,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"188 Martine Ave  White Plains, NY, 10601",Westchester,Closure,Permanent,Funding Loss,109,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"188-34 Linden Blvd  St. Albans, NY, 11412",Queens,Closure,Permanent,Funding Loss,102,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"205-06 Hillside Ave  Hollis, NY, 11423",Queens,Closure,Permanent,Funding Loss,103,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"205-19 Jamaica Avenue  Hollis, NY, 11423",Queens,Closure,Permanent,Funding Loss,104,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"222-06 South Conduit Ave  Springfield Gardens, NY, 11413",Queens,Closure,Permanent,Funding Loss,105,15,15
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"254 Kingston Ave  Brooklyn, NY, 11213",Kings,Closure,Permanent,Funding Loss,35,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"254 Livonia Ave  Brooklyn, NY, 11212",Kings,Closure,Permanent,Funding Loss,36,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"263 Saratoga Ave  Brooklyn, NY, 11233",Kings,Closure,Permanent,Funding Loss,37,4,4
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"269 East Tremont Ave  Bronx, NY, 10457",Bronx,Closure,Permanent,Funding Loss,4,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"271 East 149th Street  Bronx, NY, 10451",Bronx,Closure,Permanent,Funding Loss,5,9,9
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"286 Brighton Beach Ave  Brooklyn, NY, 11235",Kings,Closure,Permanent,Funding Loss,38,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"303 East Houston Street  New York, NY, 10002",New York,Closure,Permanent,Funding Loss,74,4,4
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"339 East Gun Hill Road  Bronx, NY, 10467",Bronx,Closure,Permanent,Funding Loss,6,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"349B Old Country Road  Carle Place, NY, 11514",Nassau,Closure,Permanent,Funding Loss,70,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"350D Middle Country Road  Corma, NY, 11727",Suffolk,Closure,Permanent,Funding Loss,107,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"359 Nostrand Ave  Brooklyn, NY, 11216",Kings,Closure,Permanent,Funding Loss,39,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"364 Graham Ave  Brooklyn, NY, 11211",Kings,Closure,Permanent,Funding Loss,40,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"396 East 167th Street  Bronx, NY, 10456",Bronx,Closure,Permanent,Funding Loss,7,3,3
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"451 Broadway  Brooklyn, NY, 11211",Kings,Closure,Permanent,Funding Loss,41,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"514 West 207th St  New York, NY, 10034",New York,Closure,Permanent,Funding Loss,75,5,5
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"531 Eastern Parkway  Brooklyn, NY, 11216",Kings,Closure,Permanent,Funding Loss,42,1,1
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"582 5th Ave  Brooklyn, NY, 11215",Kings,Closure,Permanent,Funding Loss,43,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"592 8th Ave  New York, NY, 10018",New York,Closure,Permanent,Funding Loss,76,8,8
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"593 Myrtle Ave  Brooklyn, NY, 11205",Kings,Closure,Permanent,Funding Loss,44,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"620A Castle Hill Ave  Bronx, NY, 10473",Bronx,Closure,Permanent,Funding Loss,8,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"664 East Tremont Ave  Bronx, NY, 10457",Bronx,Closure,Permanent,Funding Loss,9,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"686A Nereid Ave  Bronx, NY, 10470",Bronx,Closure,Permanent,Funding Loss,10,2,2
Pay-O-Matic Corp.,2025-09-12,2025-11-14,2025-12-24,"687 Stanley Ave  Brooklyn, NY, 11207",Kings,Closure,Permanent,Funding Loss,45,1,1
