Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"Cape Barons Manager, LLC. d/b/a Barons Cove",2025-10-01,2025-06-27,2025-07-24,"31 W Water Street  Sag Harbor, NY, 11963",Suffolk,Closure,Permanent,Economic,48,53,53
"Cardionet, LLC. an affiliate of Philips North America, LLC.",2025-06-30,2025-04-01,2025-05-23,"175 Pinelawn Road Remote employee Melville, NY, 11747",Suffolk,Closure,Permanent,Other,35,85,85
Career Systems Development Corporation,2025-06-30,2025-06-03,2025-08-21,"585 DeKalb Avenue  Brooklyn, NY, 11205",Kings,Closure,Permanent,Contract Loss Contract Termination Economic,2,0,0
Career Systems Development Corporation,2025-06-30,2025-06-03,2025-08-21,"1771 Andrews Avenue S  Bronx, NY, 10453",Bronx,Closure,Permanent,Contract Loss Contract Termination Economic,1,0,0
Cascades Holding US Inc.,2025-10-06,2025-07-08,2025-07-28,"4001 Packard Road  Niagara Falls, NY, 14303",Niagara,Closure,Permanent,Other,31,103,103
"Catapult Learning, LLC.",2025-03-30,2025-03-30,2025-04-17,"55 Forest Road  Monroe, NY, 10950",Orange,Layoff,Temporary,Contract Termination,37,98,98
"Catapult Learning, LLC.",2025-03-30,2025-03-30,2025-04-17,"257 Beach 17th Street  Far Rockaway, NY, 11691",Queens,Layoff,Temporary,Contract Termination,38,17,17
"Catapult Learning, LLC.",2025-03-30,2025-03-30,2025-04-17,"1449 39th Street  Brooklyn, NY, 11218",Kings,Layoff,Temporary,Contract Termination,36,1,1
Catholic Charities Community Services,2025-05-23,2025-04-22,2025-05-02,"80 Maiden Lane  NEW YORK, NY, 10038",New York,Layoff,Permanent,Contract Termination Funding Loss,1,46,46
"Catholic Charities of Orange, Sullivan & Ulster (CCOSU)",2025-05-23,2025-02-19,2025-03-04,"11 Hamilton Avenue Plant Layoff Monticello, NY, 12701",Sullivan,Layoff,Permanent,Economic Other,5,1,1
"Catholic Charities of Orange, Sullivan & Ulster (CCOSU)",2025-05-23,2025-02-19,2025-03-04,"27 Matthews Street Plant Layoff Goshen, NY, 10924",Orange,Layoff,Permanent,Economic Other,2,14,14
"Catholic Charities of Orange, Sullivan & Ulster (CCOSU)",2025-05-23,2025-02-19,2025-03-04,"150 Pike Street Plant Closing Port Jervis, NY, 12771",Orange,Layoff,Permanent,Economic Other,3,3,3
"Catholic Charities of Orange, Sullivan & Ulster (CCOSU)",2025-05-23,2025-02-19,2025-03-04,"280 Broadway Plant Layoff Newburgh, NY, 12550",Orange,Layoff,Permanent,Economic Other,4,3,3
"Catholic Charities of Orange, Sullivan & Ulster (CCOSU)",2025-05-23,2025-02-19,2025-03-04,"396 Broadway Plant Layoff Monticello, NY, 12701",Sullivan,Layoff,Permanent,Economic Other,6,12,12
Catholic Guardian Services (Rescission),2025-10-31,2025-07-28,2026-05-29,"110 West 183rd Street  Bronx, NY, 10453",Bronx,Closure,Permanent,Contract Loss,1,0,0
Catholic Guardian Services (Rescission),2025-06-30,2025-03-31,2026-05-29,"142 Audubon Avenue  New York, NY, 10033",New York,Closure,Permanent,Contract Loss,2,0,0
Cayuga Home for Children,2025-06-30,2025-03-21,2025-05-14,"5 Computer Drive West Suites 200 & 203 Albany, NY, 12205",Albany,Layoff,Permanent,Other,43,2,2
Cayuga Home for Children,2025-06-30,2025-03-21,2025-05-14,"101 Hamilton Avenue  Auburn, NY, 13021",Cayuga,Layoff,Permanent,Other,45,36,36
Cayuga Home for Children,2025-06-30,2025-03-21,2025-05-14,"224 Harrison Street Suite 603 Syracuse, NY, 13202",Onondaga,Layoff,Permanent,Other,49,9,9
Cayuga Home for Children,2025-06-30,2025-03-21,2025-05-14,"430 Court Street 2nd Floor Utica, NY, 13502",Oneida,Layoff,Permanent,Other,48,33,33
Cayuga Home for Children,2025-06-30,2025-03-21,2025-05-14,"1870 South Winton Road Suite 125 Rochester, NY, 14618",Monroe,Layoff,Permanent,Other,46,10,10
Cayuga Home for Children,2025-06-30,2025-03-21,2025-05-14,"1916 Park Ave Suite 407 New York, NY, 10037",New York,Layoff,Permanent,Other,47,28,28
Cayuga Home for Children,2025-06-30,2025-03-21,2025-05-14,"2417 Third Avenue Suite 701 Bronx, NY, 10451",Bronx,Layoff,Permanent,Other,44,1,1
"Cherokee Nation Management & Consulting, LLC.",2025-06-22,2025-03-23,2025-06-25,"29 Ryerson St  Brooklyn, NY, 11205",Kings,Closure,Permanent,Contract Termination,20,11,11
