company,city,industry,layoff_start,warn_act,warn_received,layoff_type,layoff_status,affected_workers,period,source_file
Salvation Army 2025,Fergus Falls,Other Services,5/1/2025,NO,-,Closing,Small Layoff Services,5,2025-03,plant-closing-mass-layoff-warn-march-2025_tcm1045-676637.pdf
Wink World MOA 2025,Bloomington,Retail,3/23/2025,NO,-,Closing,Small Layoff Services,8,2025-03,plant-closing-mass-layoff-warn-march-2025_tcm1045-676637.pdf
The Sportsman Guide Inc,South St Paul,Wholesale,7/18/25,YES,-,Workforce Reduction,Small Layoff Services,57,2025-04,plant-closing-mass-layoff-warn-april-2025_tcm1045-682782.pdf
Teleflex 2025,Maple Grove,Manufacturing,7/1/25,YES,4/8/25,Closing,RR in Progress,101,2025-04,plant-closing-mass-layoff-warn-april-2025_tcm1045-682782.pdf
Fortrex 2025,Austin,Manufacturing,5/3/25,YES,4/9/25,Workforce Reduction,Small Layoff Services,72,2025-04,plant-closing-mass-layoff-warn-april-2025_tcm1045-682782.pdf
IV Media 2025-2,Eden Prairie,Retail,6/16/25,YES,4/21/25,Closing,Existing Project,72,2025-04,plant-closing-mass-layoff-warn-april-2025_tcm1045-682782.pdf
Coborn's Park Rapids 2025,Park Rapids,Retail,5/15/25,NO,-,Closing,Small Layoff Services,35,2025-04,plant-closing-mass-layoff-warn-april-2025_tcm1045-682782.pdf
Pinoli Minneapolis 2025,Minneapolis,Dining Establishments,4/19/25,NO,-,Closing,Small Layoff Services,3,2025-04,plant-closing-mass-layoff-warn-april-2025_tcm1045-682782.pdf
Vellee Deli 2025,Minneapolis,Dining Establishments,4/20/25,NO,-,Closing,Small Layoff Services,1,2025-04,plant-closing-mass-layoff-warn-april-2025_tcm1045-682782.pdf
Charleys Rochester 2025,Rochester,Real Estate & Rental,5/5/25,NO,-,Closing,Small Layoff Services,1,2025-04,plant-closing-mass-layoff-warn-april-2025_tcm1045-682782.pdf
China Cafe Duluth 2025,Duluth,Dining Establishments,4/30/25,NO,-,Closing,Small Layoff Services,1,2025-04,plant-closing-mass-layoff-warn-april-2025_tcm1045-682782.pdf
Smurfit Westrock,St Paul,Manufacturing,6/16/25,NO,-,Closing,RR in Progress,189,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Apostle Supper Club St Paul,St Paul,Dining Establishments,6/1/25,NO,-,Closing,Small Layoff Services,1,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Burning Brothers Brewing St Paul,St Paul,Dining Establishments,5/10/25,NO,-,Closing,Small Layoff Services,12,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Chip's Clubhouse St Paul,St Paul,Dining Establishments,4/30/25,NO,-,Closing,Small Layoff Services,1,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
North Loop Galley Mpls,Minneapolis,Dining Establishments,5/10/25,NO,-,Closing,Small Layoff Services,1,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Ace General Store Excelsior,Excelsior,Retail,6/1/25,NO,-,Closing,Small Layoff Services,1,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Fellers LLC,Edina,Other Services,6/27/25,YES,5/5,Closing,Small Layoff Services,1,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Falastin Deli,Duluth,Dining Establishments,5/10/25,NO,-,Closing,Small Layoff Services,1,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Maverick's Wood Grill Champlin,Champlin,Dining Establishments,5/31/25,NO,-,Closing,Small Layoff Services,1,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Apple Valley Foods,Chaska,Manufacturing,7/11/25,YES,5/13,Closing,RR in Progress,95,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Cooks Bellecour,Minneapolis,Education,6/1/25,NO,-,Closing,Small Layoff Services,1,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Hey Bear Cafe St Paul,St Paul,Dining Establishments,5/14/25,NO,-,Closing,Small Layoff Services,1,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Lake Crystal Pharmacy,Lake Crystal,Health Care/Social Assist,5/28/25,NO,-,Closing,Small Layoff Services,1,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
MCs Garage Mankato,Mankato,Dining Establishments,5/10/25,NO,-,Closing,Small Layoff Services,1,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
801 Fish Mpls,Minneapolis,Dining Establishments,5/12/25,NO,-,Closing,Small Layoff Services,37,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Transaxle St Paul,St Paul,Manufacturing,7/15/25,YES,-,Closing,Small Layoff Services,6,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Pizza Shark Mpls,Minneapolis,Dining Establishments,5/14/25,NO,-,Closing,Small Layoff Services,1,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Skyline Math/Science Academy,Minneapolis,Education,6/30/25,NO,-,Closing,Small Layoff Services,1,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Center for Antiracism Research,Minneapolis,Education,5/30/25,NO,-,Closing,Small Layoff Services,3,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
BoxDrop Duluth,Duluth,Retail,6/30/25,NO,-,Closing,Small Layoff Services,1,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Planned Parenthood,Manhattan,Health Care/Social Assist,6/12/25,NO,-,Closing,RR in Progress,66,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
The Leader-Record Gonvick,Gonvick,Manufacturing,5/27/25,NO,-,Closing,Small Layoff Services,3,2025-05,plant-closing-mass-layoff-warn-may-2025_tcm1045-690491.pdf
Dan Kelly's Pub Mpls 2025,Minneapolis,Dining Establishments,5/31/25,NO,-,Closing,Small Layoff Services,1,2025-06,plant-closing-mass-layoff-warn-june-2025_tcm1045-695921.pdf
OfficeMax Eagan 2025,Eagan,Retail,6/30/25,NO,-,Closing,Small Layoff Services,9,2025-06,plant-closing-mass-layoff-warn-june-2025_tcm1045-695921.pdf
Treadle Yard Goods St Paul 2025,St Paul,Wholesale,5/31/25,NO,-,Closing,Small Layoff Services,1,2025-06,plant-closing-mass-layoff-warn-june-2025_tcm1045-695921.pdf
Children's Center Montessori 2025,St Paul,Education,6/30/25,NO,-,Closing,Small Layoff Services,3,2025-06,plant-closing-mass-layoff-warn-june-2025_tcm1045-695921.pdf
Children's Country Day School 2025,Mendota Heights,Education,9/1/25,NO,-,Closing,Small Layoff Services,19,2025-06,plant-closing-mass-layoff-warn-june-2025_tcm1045-695921.pdf
J & E Companies 2025,Lakeville,Utilities,6/2/25,YES,-,Closing,Small Layoff Services,145,2025-06,plant-closing-mass-layoff-warn-june-2025_tcm1045-695921.pdf
Edwards Dessert Kitchen 2025,Plymouth,Manufacturing,6/29/25,NO,-,Closing,Small Layoff Services,14,2025-06,plant-closing-mass-layoff-warn-june-2025_tcm1045-695921.pdf
At Home - Rochester 2025,Rochester,Retail,9/30/25,NO,-,Closing,Small Layoff Services,10,2025-06,plant-closing-mass-layoff-warn-june-2025_tcm1045-695921.pdf
Schmitt's Stride Rite Rochester 2025,Rochester,Retail,7/1/25,NO,-,Closing,Small Layoff Services,1,2025-06,plant-closing-mass-layoff-warn-june-2025_tcm1045-695921.pdf
Running Room St Paul 2025,Edmonton,Retail,6/22/25,NO,-,Closing,Small Layoff Services,1,2025-06,plant-closing-mass-layoff-warn-june-2025_tcm1045-695921.pdf
Ramen Kazama Como 2025,Minneapolis,Dining Establishments,5/1/25,,NO,Closing,Small Layoff Services,1,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
Northspan,Duluth,Other Services,6/27/25,,NO,Workforce Reduction,Small Layoff Services,2,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
Bailey Ray's Roadhouse,Santiago Township,Dining Establishments,6/30/25,,NO,Disaster,Small Layoff Services,1,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
Annie's Parlour Mpls,Minneapolis,Dining Establishments,7/1/25,,NO,Closing,Small Layoff Services,1,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
Bernatellos Pizza,Maple Lake,Dining Establishments,7/4/25,,NO,Workforce Reduction,Small Layoff Services,35,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
Science Museum St Paul,St Paul,Arts/Entertainment/Rec,7/9/25,,NO,Workforce Reduction,Small Layoff Services,43,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
Johnson Publishing,Fulda,Information,7/14/25,,NO,Closing,Small Layoff Services,1,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
Alloy Brewing Coon Rapids,Coon Rapids,Dining Establishments,7/15/25,,NO,Closing,Small Layoff Services,16,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
Best Buy Outlet Blaine,Richfield,Retail,7/15/25,,NO,Closing,Small Layoff Services,1,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
Gruber's Quilt Shop Waite,Waite Park,Retail,7/21/25,,NO,Closing,Small Layoff Services,1,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
PHaerigkh ts Bakery Columbia,Columbia Heights,Dining Establishments,8/1/25,,NO,Closing,Small Layoff Services,1,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
H94e iBguhbtsb les Mpls,Minneapolis,Dining Establishments,8/3/25,,NO,Closing,Small Layoff Services,1,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
LA Fitness Uptown,Minneapolis,Arts/Entertainment/Rec,8/20/25,,NO,Closing,Small Layoff Services,1,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
SNAP U of M Extension,Falcon Heights,Education,8/22/25,,NO,Workforce Reduction,Small Layoff Services,56,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
Bob's Appliances Rochester,Rochester,Retail,9/1/25,,NO,Closing,Small Layoff Services,0,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
Cafe Lurcat Mpls,Minneapolis,Dining Establishments,9/5/25,,NO,Closing,Small Layoff Services,1,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
Palmer's Bar Mpls,Minneapolis,Dining Establishments,9/14/25,,NO,Closing,Small Layoff Services,15,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
Cub & Supervalu,Baxter,Retail,9/15/25,,7/15/25,Closing,Small Layoff Services,235,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
Edina Grill,Edina,Dining Establishments,9/18/25,,NO,Closing,Small Layoff Services,1,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
Brooklyn Center Liquor,Brooklyn Center,Wholesale,12/30/25,,NO,Closing,Small Layoff Services,14,2025-07,plant-closing-mass-layoff-warn-july-2025_tcm1045-701890.pdf
ASV/Yanmar 2025,Grand Rapids,Manufacturing,8/12/25,NO,,Workforce Reduction,,1,2025-08,plant-closing-mass-layoff-warn-august-2025_tcm1045-704281.pdf
Cargil Salt,Savage,Manufacturing,8/6/25,NO,,Disaster,,11,2025-08,plant-closing-mass-layoff-warn-august-2025_tcm1045-704281.pdf
Claire's Blaine 2025,Blaine,Retail,9/7/25,NO,,Closing,,2,2025-08,plant-closing-mass-layoff-warn-august-2025_tcm1045-704281.pdf
Equiniti Trust Company,Mendota Heights,Admin & Support Services,11/14/25,YES,8/12/25,Workforce Reduction,,36,2025-08,plant-closing-mass-layoff-warn-august-2025_tcm1045-704281.pdf
Lynhall No 3945 Edina 2025,Edina,Dining Establishments,8/24/25,NO,,Closing,,31,2025-08,plant-closing-mass-layoff-warn-august-2025_tcm1045-704281.pdf
The Corner Bar Mpls 2025,Minneapolis,Dining Establishments,8/24/25,NO,,Closing,,1,2025-08,plant-closing-mass-layoff-warn-august-2025_tcm1045-704281.pdf
Twin Cities Skaters Mpls 2025,Minneapolis,Arts/Entertainment/Rec,10/5/25,NO,,Closing,,1,2025-08,plant-closing-mass-layoff-warn-august-2025_tcm1045-704281.pdf
Bub's Brewing Co Winona 2025,Winona,Dining Establishments,8/29/25,NO,,Closing,,12,2025-08,plant-closing-mass-layoff-warn-august-2025_tcm1045-704281.pdf
Goonie's Comedy Club Rochester,Rochester,Arts/Entertainment/Rec,3/29/25,NO,,Closing,,0,2025-08,plant-closing-mass-layoff-warn-august-2025_tcm1045-704281.pdf
Zeco Systems Inc 2025,Los Angeles,Other Services,10/4/25,YES,8/21/25,Workforce Reduction,,2,2025-08,plant-closing-mass-layoff-warn-august-2025_tcm1045-704281.pdf
El Loro Waite Park 2025,Waite Park,Dining Establishments,8/20/25,NO,,Closing,,1,2025-08,plant-closing-mass-layoff-warn-august-2025_tcm1045-704281.pdf
Leeann Chin,Rochester,Dining Establishments,8/25/25,NO,,Closing,,1,2025-08,plant-closing-mass-layoff-warn-august-2025_tcm1045-704281.pdf
Matriarch Mpls 2025,Minneapolis,Dining Establishments,8/21/25,NO,,Closing,,1,2025-08,plant-closing-mass-layoff-warn-august-2025_tcm1045-704281.pdf
Centrex Rehab,Bloomington,Health Care/Social Assist,11/7/2025,YES,9/3/2025,Closing,Small Layoff Services,311,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
At the Farm Waconia,Waconia,Agriculture,8/30/2025,NO,,Closing,Small Layoff Services,1,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
RC Detox/Withdrawal Mgt Div,St Paul,Government,10/6/2025,NO,,Closing,Small Layoff Services,43,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
United Transfusion Clinic,St Paul,Health Care/Social Assist,,NO,,Closing,Aversion/Retention,5,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Seasons Hospice House,Rochester,Health Care/Social Assist,10/10/2025,NO,,Closing,Small Layoff Services,10,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Barrio Edina 2025,Edina,Dining Establishments,10/1/2025,NO,,Closing,Small Layoff Services,20,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
UCare Mpls 2025,Minneapolis,Health Care/Social Assist,9/30/2025,NO,,Workforce Reduction,Small Layoff Services,144,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Truterra Land O Lakes,Arden Hills,Manufacturing,8/27/2025,NO,,Workforce Reduction,Small Layoff Services,30,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Milton's Crystal 2025,Crystal,Dining Establishments,10/31/2025,NO,,Closing,Small Layoff Services,1,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Trio Plant Based,Minneapolis,Dining Establishments,10/31/2025,NO,,Closing,Small Layoff Services,1,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Boelter Mankato 2025,Madison Lake,Construction,8/31/2025,NO,,Closing,Small Layoff Services,1,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Celio Mpls 2025,Minneapolis,Dining Establishments,9/9/2025,NO,,Closing,Small Layoff Services,1,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
The Get Down Coffee Co,Minneapolis,Other Services,10/31/2025,NO,,Closing,Small Layoff Services,2,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Consolidated Communications,Mankato,Information,9/17/2025,NO,,Closing,Small Layoff Services,1,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Jostens 2025-2nd Layoff,Owatonna,Manufacturing,9/19/2025,NO,,Workforce Reduction,Small Layoff Services,5,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Mayo-St. Peter 2025,St Peter,Health Care/Social Assist,10/31/2025,NO,,Closing,Small Layoff Services,25,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
ABM Janitorial 2025,Minneapolis,Admin & Support Services,9/30/2025,NO,,Workforce Reduction,Small Layoff Services,7,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Mayo Clinic Wells 2025,Wells,Health Care/Social Assist,11/1/2025,NO,,Closing,Small Layoff Services,1,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Illume Candles LLC,Maple Grove,Retail,12/1/2025,YES,9/16/2025,Closing,New Project,132,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
TOPS Products,Hastings,Manufacturing,10/2/2025,NO,,Workforce Reduction,Small Layoff Services,35,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Allina Health - Chaska,Minneapolis,Health Care/Social Assist,2/1/2026,NO,,Closing,Small Layoff Services,1,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Wells Fargo Duluth,Minneapolis,Finance & Insurance,12/3/2025,NO,,Closing,Small Layoff Services,1,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Wuollet Bakery Uptown,Minneapolis,Dining Establishments,9/6/2025,NO,,Closing,Small Layoff Services,5,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Market Bar-B-Que,Minneapolis,Dining Establishments,9/10/2025,NO,,Closing,Small Layoff Services,1,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Petite León,Minneapolis,Dining Establishments,12/31/2025,NO,,Closing,Small Layoff Services,1,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Cub Blaine East,Blaine,Retail,10/1/2025,NO,,Workforce Reduction,Small Layoff Services,1,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Cubs Foods Oakdale,Oakdale,Retail,10/1/2025,NO,,Workforce Reduction,Small Layoff Services,10,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
U of M Morris McNair Program,Morris,Education,10/6/2025,NO,,Workforce Reduction,Small Layoff Services,4,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Augsburg Univ. McNair Program,Minneapolis,Education,10/6/2025,NO,,Workforce Reduction,Small Layoff Services,5,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Century College Trio Programs,Mahtomedi,Education,10/9/2025,NO,,Workforce Reduction,Small Layoff Services,7,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
KD Fine Jewlers,Rochester,Retail,12/31/2025,NO,,Closing,Small Layoff Services,3,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Starbucks,Seattle,Dining Establishments,9/26/2025,NO,,Closing,Small Layoff Services,65,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Taco JED,Rochester,Dining Establishments,10/18/2025,NO,,Closing,Small Layoff Services,1,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Milkweed,Minneapolis,Dining Establishments,10/5/2025,NO,,Closing,Small Layoff Services,1,2025-09,plant-closing-mass-layoff-warn-september-2025_tcm1045-712064.pdf
Central MN Mental Health,Waite Park,Health Care/Social Assist,1/1/2026,FALSE,,Workforce Reduction,Small Layoff Services,25,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Aljon Tool,Plymouth,Construction,10/30/2025,FALSE,,Closing,Small Layoff Services,25,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Gina Maria's Pizza,Eden Prairie,Dining Establishments,10/5/2025,FALSE,,Closing,Small Layoff Services,1,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Gina Maria's Pizza,Chanhassen,Dining Establishments,10/5/2025,FALSE,,Closing,Small Layoff Services,1,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Gina Maria's Pizza,Plymouth,Dining Establishments,10/16/2025,FALSE,,Closing,Small Layoff Services,1,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Gina Maria's Pizza,Edina,Dining Establishments,10/16/2025,FALSE,,Closing,Small Layoff Services,1,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Mayo,Owatonna,Health Care/Social Assist,,FALSE,,Closing,Aversion/Retention,,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Taylor Corp,North Mankato,Manufacturing,10/17/2025,FALSE,,Workforce Reduction,Small Layoff Services,33,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Mayo Belle Plaine Clinic,Belle Plaine,Health Care/Social Assist,,FALSE,,Closing,Aversion/Retention,,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Mayo Northridge,North Mankato,Health Care/Social Assist,,FALSE,,Closing,Aversion/Retention,,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Mayo Clinic Montgomery,Montgomery,Health Care/Social Assist,,FALSE,,Closing,Aversion/Retention,,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Mayo Clinic Caledonia,Caledonia,Health Care/Social Assist,,FALSE,,Workforce Reduction,Aversion/Retention,,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Hennen's Furniture,Willmar,Retail,12/15/2025,FALSE,,Closing,Small Layoff Services,12,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Central Appliance Recycler,St Cloud,Manufacturing,11/14/2025,FALSE,,Closing,Small Layoff Services,1,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Farmstead Bike Shop,Minneapolis,Retail,11/29/2025,FALSE,,Closing,Small Layoff Services,1,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Cuyuna Regional Med Ctr,Crosby,Health Care/Social Assist,12/10/2025,FALSE,,Workforce Reduction,Small Layoff Services,19,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Osteria,St Paul,Dining Establishments,10/18/2025,FALSE,,Closing,Small Layoff Services,1,2025-10,plant-closing-mass-layoff-warn-october-2025_tcm1045-712065.pdf
Dependable Home Healthcare,St Paul,Health Care/Social Assist,1/3/2026,YES,11/4/2025,Closing,Small Layoff Services,406,2025-11,plant-closing-mass-layoff-warn-november-2025_tcm1045-720889.pdf
Impulse Juice,Minneapolis,Dining Establishments,11/5/2025,NO,,Closing,Small Layoff Services,1,2025-11,plant-closing-mass-layoff-warn-november-2025_tcm1045-720889.pdf
Rojo Mexican Grill,St Louis Park,Dining Establishments,11/11/2025,NO,,Closing,Small Layoff Services,1,2025-11,plant-closing-mass-layoff-warn-november-2025_tcm1045-720889.pdf
Inbound Health 2025,Minneapolis,Health Care/Social Assist,12/1/2025,NO,,Closing,Small Layoff Services,1,2025-12,plant-closing-mass-layoff-warn-december-2025_tcm1045-720888.pdf
Schram Haus Brewery 2025,Chaska,Dining Establishments,12/31/2025,NO,,Closing,Small Layoff Services,1,2025-12,plant-closing-mass-layoff-warn-december-2025_tcm1045-720888.pdf
PRIMP Boutique Excelsior,Excelsior,Retail,10/25/2025,NO,,Closing,Small Layoff Services,1,2025-12,plant-closing-mass-layoff-warn-december-2025_tcm1045-720888.pdf
PRIMP Boutique,White Bear Lake,Retail,12/10/2025,NO,,Closing,Small Layoff Services,1,2025-12,plant-closing-mass-layoff-warn-december-2025_tcm1045-720888.pdf
House of Kirin 2025,Brooklyn Park,Dining Establishments,1/1/2026,NO,,Closing,Small Layoff Services,1,2025-12,plant-closing-mass-layoff-warn-december-2025_tcm1045-720888.pdf
The Woods Gift Shop 2026,Maple Grove,Retail,1/9/2026,NO,,Closing,Small Layoff Services,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Love Pizza 2026,Golden Valley,Dining Establishments,1/9/2026,NO,,Workforce Reduction,Small Layoff Services,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
KidsCo Children's Museum 2026,Moorehead,Education,3/28/2026,NO,,Closing,Small Layoff Services,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Grande Sunrise Mexican Restaurant,West St Paul,Dining Establishments,1/15/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Zao Bakery & Café 2026,W St Paul,Dining Establishments,1/15/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Don Pablos-Fergus Falls 2026,Fergus Falls,Dining Establishments,1/15/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Catrina’s Skyway 2026,St Paul,Dining Establishments,1/15/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Casa Deli Restaurant Savage 2026,Savage,Dining Establishments,1/15/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Le Burger,Minneapolis,Dining Establishments,1/12/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Salsa A La Salsa,Minneapolis,Dining Establishments,1/12/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
El Sazon Tacos & More-Eagan 2026,Eagan,Dining Establishments,1/15/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Xelas by El Sazon-Stillwater 2026,Stillwater,Dining Establishments,1/15/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Wrecktangle Pizza,Minneapolis,Dining Establishments,1/12/2026,NO,,Workforce Reduction,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
La Loma Tamales,Minneapolis,Dining Establishments,1/12/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Mercado Central,Minneapolis,Retail,1/12/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Bravi's Craft Mexican Kitchen,Shakopee,Dining Establishments,1/12/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
Mothership Pizza Paradise,Minneapolis,Dining Establishments,1/12/2026,NO,,Temporary Layoff,Temporary Layoff/Closure,1,2026-01,plant-closing-mass-layoff-warn-2026-january_tcm1045-722872.pdf
