s,h,s,h,s,s,s,s,s,s
,,,,,,,,,
Company,Company,Date Received,URL,City/County,Layoff/Closure,Potential Number Affected,Layoff Date(s),Phone Number,Union
"UPDATE Eagle Machining - First Brands Group, LLC","UPDATED Eagle Machining - First Brands Group, LLC",1/27/2026,https://dam.assets.ohio.gov/image/upload/v1769548431/jfs.ohio.gov/warn/WARN%202025/Updated_Eagle_Machining_First_Brands.pdf,Fayette/Fulton,Closure,251,1/27/2026,(330) 980-0677,Y/See WARN
Cooper Standard,Cooper Standard,12/15/2025,https://dam.assets.ohio.gov/image/upload/v1765893753/jfs.ohio.gov/warn/WARN%202025/CooperStandard.pdf,New Lexington/Perry,Closure,228,7/1/2027,(989) 245-7400,Y/See WARN
Michigan Sugar Company,Michigan Sugar Company,12/11/2025,https://dam.assets.ohio.gov/image/upload/v1765564504/jfs.ohio.gov/warn/WARN%202025/Michigan_Sugar_Company.pdf,Findlay/Hancock,Closure,4,1/31/2026,(989) 778-0982,Y/See WARN
PK Management,PK Management,12/4/2025,https://dam.assets.ohio.gov/image/upload/v1764957000/jfs.ohio.gov/warn/WARN%202025/PKManagement.pdf,Richmond Heights/Cuyahoga,Closure,67,2/1/2026,(864) 242-9988,N
"American Signature, Inc dba Vaule City Furniture","American Signature, Inc dba Vaule City Furniture",11/21/2025,https://dam.assets.ohio.gov/image/upload/v1764010280/jfs.ohio.gov/warn/WARN%202025/AmericanSignatureDBAValueCityFurniture.pdf,Columbus/Franklin,Closure,256,1/20/2026,(614) 221-9200,N
Phoenix Technologies,Phoenix Technologies,11/19/2025,https://dam.assets.ohio.gov/image/upload/v1763665597/jfs.ohio.gov/warn/WARN%202025/PhoenixTechnologies.pdf,Bowling Green/Wood,Closure,7,11/20/2025,(419) 353-8856,N
Nordstrom Credit Operations,Nordstrom Credit Operations,11/19/2025,https://dam.assets.ohio.gov/image/upload/v1763665597/jfs.ohio.gov/warn/WARN%202025/NordstromCreditOperations.pdf,Pickerington/Fairfield,Layoff,1 remote,2/1/2026,(206) 454-1778,N
Giesecke + Devrient ePayments America Inc,Giesecke + Devrient ePayments America Inc,11/3/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/GieseckeDevrientePaymentsAmericaInc.pdf,Twinsburg/Summit,Closure,240,12/30/2026,(630) 886-5812,N
Ultium Cells-General Motors,Ultium Cells-General Motors,10/29/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/UltiumCellsGeneralMotors.pdf,Warren/Trumbull,Layoff,484 Perm Layoffs/850 Temp Layoffs,1/5/2026,(731)220-6434,Y/See WARN
Premier Healthcare Solutions DBA Contigo Health,Premier Healthcare Solutions DBA Contigo Health,10/27/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/PremierHealthcareSolutionsDBAContigo.pdf,Summit/Hudson,Closure,175,1/16/2026,(704) 816-5478,N
CVS Health-Aetna Medicare Medicaid Program,CVS Health-Aetna Medicare Medicaid Program,10/17/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/CVSHealthAetnaMedicareMedicaidProgram.pdf,Unknown City/Unknown Counties,Layoff,70,3/31/2026,(401) 829-0684,N
The Buckeye Ranch DBA Permanent Family Solutions Network,The Buckeye Ranch DBA Permanent Family Solutions Network,10/8/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/PermanentFamilySolutionsNetwork.pdf,Whitehall/Franklin,Closure,66,12/1/2025,(614) 875-2371,N
"Augusta Sportswear, Inc.","Augusta Sportswear, Inc.",10/8/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/AugustaSportswearInc.pdf,Sidney/Shelby,Closure,58,1/30/2026,(704) 902-7816,N
Sirna & Sons Produce,Sirna & Sons Produce,10/2/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/SirnaSonsProduce.pdf,Norwalk/Huron,Closure,45,12/2/2025,(317) 981-3230,N
MAHLE Thermal and Fluid Systems,MAHLE Thermal and Fluid Systems,9/30/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/MAHLEThermalandFluidSystems.pdf,Mt. Sterling/Madison,Closure,141,8/31/2026,(740) 572-7869,N
TOPS Products,TOPS Products,9/24/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/TOPSProducts.pdf,Logan/Hocking,Closure,207,4/2/2027,(630) 306-4559,N
UPDATE Daniel Drake Center for Post-Acute Care,Daniel Drake Center for Post-Acute Care,7/30/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/UPDATE_DanielDrakeCenter_for_Post_Acute_Care_3.pdf,Cincinnati/Hamilton,Closure,474,12/4/2026,(513) 418-8500,N
Essendant,Essendant,9/4/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/Essendant.pdf,Twinsburg/Summit,Closure,99,11/7/2025,(312) 316-4950,N
PSA Airlines,PSA Airlines,8/29/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/PSAAirlines.pdf,Vandalia/Montgomery,Closure,157,4/29/2027,(704)491-8826,Y/See WARN
"FedEx Supply Chain, Inc","FedEx Supply Chain, Inc",8/28/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/FedExSupplyChainInc.pdf,Lima/Allen,Closure,56,10/31/2025,(901) 570-1225,N
"JBT, Marel","JBT, Marel",8/27/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/JBTMarel.pdf,Columbus/Franklin,Closure,50,8/31/2026,614-253-8590,N
"Fellers, LLC","Fellers, LLC",8/27/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/FellersLLC1.pdf,Sharonville/Hamilton,Closure,1,10/24/2025,(918) 621-4412,N
First Student,First Student,8/18/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/FirstStudent2.pdf,Cincinnati/Hamilton,Layoff,39 part time,8/20/2025,(513) 814-9069,Teamsters Local 100
Trilogy Plastics,Trilogy Plastics,7/31/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/TrilogyPlastics.pdf,Alliance/Stark,Closure,153,10/14/2025,(574) 968-6724,N
"INEOS ABS USA, LLC","INEOS ABS USA, LLC",7/23/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INEOSABCUSALLC.pdf,Addyston/Hamilton,Closure,82,3/30/2026,(513) 467-2595,"International Chemical Worker's Union Council, Local 561 C"
"Sarepta Therapeutics, Inc.","Sarepta Therapeutics, Inc.",7/16/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/SareptaTherapeuticsInc.pdf,Columbus/Franklin,Layoff,80,7/18/2025,,N
CAM Industrial Solutions US M&T Inc.,CAM Industrial Solutions US M&T Inc.,7/11/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/CAMIndustrialSolutionsUSM_TInc.pdf,Lima/Allen,Layoff,95,8/1/2025,(587) 200-5068,Multiple/See WARN
"Fellers, LLC","Fellers, LLC",7/9/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/FellersLLC.pdf,Columbus/Franklin,Closure,2,9/12/2025,(918) 621-4412,N
"Ohio Eagle Distributing, LLC","Ohio Eagle Distributing, LLC",7/7/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/OhioEagleDistributingLLC.pdf,West Chester/Butler,Closure,178,9/8/2025,(513) 539-8483,Butler: Teamster Local 1199; Allen: International Brethren of Teamsters Local 908
"Quality Built, LLC","Quality Built, LLC",7/7/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/QualityBuiltLLC.pdf,Cincinnati/Hamilton,Closure,1,7/3/2025,(800) 547-5125,N
International Paper,International Paper,6/26/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/InternationalPaper.pdf,Marion/Marion,Closure,107,9/1/2025,(901) 419-4964,United Steelworkers; Local 1313
Stingray Pressure Pumping,Stingray Pressure Pumping,6/13/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/StingrayPressurePumping.pdf,Belmont/Belmont,Closure,75,8/15/2025,(405) 394-0146,N
Pixelle Specialty Solutions,Pixelle Specialty Solutions,6/10/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/PixelleSpecialtySolutionsUpdatedWARN.pdf,Chillicothe/Ross,Closure,780,8/10/2025,(740) 772-0482,USW 731 & 988 & OPEIU 422
"INOAC Exterior Systems, LLC","INOAC Exterior Systems, LLC",6/9/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC13.pdf,Fremont/Sandusky,Closure,1,8/8/2025,(419) 332-2713,N
Kohl's,Kohl's,6/5/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/KohlsEFullfillmentCenter.pdf,Middletown/Butler,Closure,768,10/31/2025,(262) 703-6883,N
"Insights Training Group, LLC","Insights Training Group, LLC",6/5/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/InsightsTrainingGroupLLCUpdated.pdf,Cincinnati/Hamilton,Closure,103,6/30/2025,(276) 378-8220,N
Insight Behavioral Consulting,Insight Behavioral Consulting,6/4/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/InsightBehavioralConsulting.pdf,Westlake & Berea/Cuyahoga,Layoff,92,6/6/2025,(440) 568 7373,N
"Chugach Training & Educational Solutions, LLC","Chugach Training & Educational Solutions, LLC",6/2/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/ChugachTrainingEducationalSolutionsLLC.pdf,Cleveland/Cuyahoga,Closure,95,6/30/2025,(803) 394-6653,N
"Morgan Truck Body, LLC","Morgan Truck Body, LLC",6/2/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/MorganTruckBodyLLC.pdf,Orrville/Wayne,Layoffs,110,8/1/2025,(330) 465-8162,N
"INOAC Exterior Systems, LLC","INOAC Exterior Systems, LLC",6/2/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC12.pdf,Fremont/Sandusky,Closure,2,7/29/2025,(419) 332-2713,N
Crothall Healthcare,Crothall Healthcare,5/22/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/CrothallHealthcareWestChester.pdf,West Chester/Butler,Closure,61,7/25/2025,(336) 327-0294,AFSCME Ohio Council 8
Crothall Healthcare,Crothall Healthcare,5/22/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/CrothallHealthcareCincinnati.pdf,Cincinnati/Hamilton,Closure,239,7/25/2025,(336) 327-0294,AFSCME Ohio Council 8
Morrison Healthcare ,Morrison Healthcare ,5/22/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/MorrisonHeathcareCincinnati.pdf,Cincinnati/Hamilton,Closure,201,7/25/2025,(813) 951-0490,AFSCME Ohio Council 8
Morrison Healthcare ,Morrison Healthcare ,5/22/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/MorrisonHealthcareWestChester.pdf,West Chester/Butler,Closure,55,7/25/2025,(813) 951-0490,AFSCME Ohio Council 8
"INOAC Exterior Systems, LLC","INOAC Exterior Systems, LLC",5/19/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExterirSystemsLLC11.pdf,Fremont/Sandusky,Closure,2,7/15/2025,(419) 332-2713,N
East Ohio Regional Hospital,East Ohio Regional Hospital,5/15/2025, https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/EastOhioRegionalHospital.pdf,Martins Ferry/Belmont,Layoff,11,5/23/2025,(740) 633-4390,N
Oerlikon Balzers Coating USA Inc.,Oerlikon Balzers Coating USA Inc.,5/15/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/OerlikonBalzersCoatingUSAInc.pdf,Brunswick/Medina,Closure,11,8/1/2025,(248) 225-2185,N
"Navitor, Inc","Navitor, Inc",5/15/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/UpdatedNavitorInc5162025.pdf,Coldwater/Mercer,Closure,83,12/31/2025,(507) 304-6310,N
"INOAC Exterior Systems, LLC","INOAC Exterior Systems, LLC",5/14/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC10.pdf,Fremont/Sandusky,Closure,1,7/13/2025,(419) 332-2713,N
"INOAC Exterior Systems, LLC","INOAC Exterior Systems, LLC",5/13/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC9.pdf,Fremont/Sandusky,Closure,3,7/12/2025,(419) 332-2713,N
National Oilwell Varco,National Oilwell Varco,5/7/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/NationalOilwellVarco.pdf,Dayton/Montgomery,Closure,127,12/31/2025,(346) 452-9372,International Association of Machinists and Aerospace Workers
"INOAC Exterior Systems, LLC","INOAC Exterior Systems, LLC",5/7/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC8.pdf,Fremont/Sandusky,Closure,9,7/2/2025,(419) 332-2713,N
Kraton,Kraton,5/7/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/Kraton.pdf,Tuscarawas/Dover,Closure,91,7/21/2025,(740) 777-2718,International Chemical Workers Union #20d
United Parcel Service (UPS),United Parcel Service (UPS),5/2/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/UPSParttimePAWs.pdf,Middleburg Heights/Cuyahoga,Layoff,98 Part-time Workers,7/1/2025,(717) 974-5564,International Brotherhood of Teamsters Local 407
"Galion Pointe Nursing & Rehab, LLC","Galion Pointe Nursing & Rehab, LLC",5/1/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/GalionPointeNursingRehabLLC.pdf,Galion/Crawford,Closure,60,7/1/2025,(740) 262-3653,SEIU District 1199
Dana,Dana,4/30/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/Dana.pdf,Lima/Allen,Closure,295,12/31/2025,(852) 242-2761,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America, UAW Local No. 1765"
"INOAC Exterior Systems, LLC","INOAC Exterior Systems, LLC",4/21/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC7.pdf,Fremont/Sandusky,Closure,1,6/16/2025,(419) 332-2713,N
"Amplify Bio, LLC","Amplify Bio, LLC",4/15/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/AmplifyBioLLC.pdf,West Jefferson/Madison,Closure,212,4/4/2025,(937) 648-3840,N
"Metalco USA, LLC","Metalco USA, LLC",4/8/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/MATALCOUSALLC.pdf,Canton/Stark,Closure,71,6/5/2025,(440) 451-9244,N
"INOAC Exterior Systems, LLC","INOAC Exterior Systems, LLC",4/4/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC6.pdf,Fremont/Sandusky,Closure,11,6/3/2025,(419) 332-2713,N
Washington Prime Group,Washington Prime Group,4/2/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/WashingtonPrimeGroup.pdf,Westerville/Franklin,Layoff,139,3/31/2026,(614) 887-5639,N
"Graphic Packaging International, LLC","Graphic Packaging International, LLC",4/1/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/GraphicPackagingInternationalLLC.pdf,Middletown/Butler,Closure,136,5/31/2025,(513) 424-4117,USW Local 1973
Insight Foundation of Hillside,Insight Foundation of Hillside,3/28/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/InsightFoundationofHillside.pdf,Warren/Trumbull,Layoff,143,3/28/2025,(312) 567-2039,"AFSCME, Ohio Council 8, American Federation of State, County and Municipal Employees, AFL-CIO"
"BH Security, LLC","BH Security, LLC",3/17/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/BHSecurityLLC.pdf,Unknown City/Unknown Counties,Layoff,4,6/30/2025,(972) 243-7443,N
"INOAC Exterior Systems, LLC","INOAC Exterior Systems, LLC",3/14/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC5.pdf,Fremont/Sandusky,Closure,5,5/13/2025,(419) 332-2713,N
Compass Group USA,Compass Group USA,2/28/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/CompassGroupUSAInc.pdf,Youngstown/Mahoning,Closure,53,5/5/2025,(313) 570-2581,N
"INOAC Exterior Systems, LLC","INOAC Exterior Systems, LLC",2/28/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC4Revised.pdf,Fremont/Sandusky,Closure,18,6/24/2025,(419) 332-2713,N
"Worthington Samuel Coil Processing, LLC","Worthington Samuel Coil Processing, LLC",2/27/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/WorthingtonSamuelCoilProcessingLLC.pdf,Cleveland/Cuyahoga,Closure,55,3/31/2025,(216) 259-0504,N
Kuehne + Nagel Inc.,Kuehne + Nagel Inc.,2/21/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/Kuehne_NagelInc.pdf,Urbana/Champaign,Closure,57,4/30/2025,(803) 847-7337,N
Harvest Sherwood Food Distributors,Harvest Sherwood Food Distributors,2/19/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/HarvestSherwoodFoodDistributors.pdf,Maple Heights/Cuyahoga,Closure,273,4/21/2025,(313) 659-7660,N
"INOAC Exterior Systems, LLC","INOAC Exterior Systems, LLC",2/14/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC3Revised.pdf,Fremont/Sandusky,Closure,78,6/24/2025,(419) 332-2713,N
Big Lots Inc.,Big Lots Inc.,2/14/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/BigLotsHeadquarters2.pdf,Columbus/Franklin,Closure,533,4/15/2025,(614) 278-7066,N
American Freight,American Freight,2/12/2025,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/AmericanFreight2.pdf,Delaware/Delaware,Layoff,19,5/1/2025,(740)363-2222,N
